A	DA	B	DB	R
22.3	0	33.4	12	0
22.6	0	37.4	12	0
25.8	0	40.9	9	1
26.4	0	32.2	4	0
23.6	0	35.9	9	0
21.5	0	22.9	1	0
27.5	0	38	2	0
20.2	0	15.9	4	0
29.7	0	73.9	4	1
23.9	0	43.9	2	1
21.2	0	26.7	4	1
21.1	0	41.3	4	1
23.8	0	36.4	9	1
26.4	0	51.6	4	1
21.1	0	17.4	1	0
20.8	0	19.9	4	0
23.8	0	31.7	1	0
20.8	0	34.2	12	1
22.7	0	25	2	0
25.6	0	30.9	4	1
26.3	0	28.9	2	0
25.8	0	60	6	1
28.7	0	41.4	9	1
28.1	0	25.5	6	0
22.3	0	53	9	1
26.6	0	59.1	9	1
27.6	0	26.9	6	0
20.9	0	32.4	12	0
27.9	0	30.8	2	0
27.3	0	44.1	12	1
23.5	0	36.8	12	0
25.3	0	28.4	9	0
24.9	0	40.6	12	0
27.2	0	33.4	4	0
23.2	0	35.4	9	0
26.6	0	29.2	6	0
25.4	0	28.7	2	0
20.8	0	36.8	12	0
20.3	0	21.7	1	0
20.1	0	22.9	2	0
21.7	0	28.4	1	1
29	0	75	12	1
29.2	0	41.3	6	1
29.4	0	37.2	4	0
21.3	0	38.7	12	0
25.2	0	32.5	4	0
26.2	0	37.9	6	0
21.7	0	18.9	1	0
22.3	0	25.9	9	0
22.4	0	34.4	12	0
21.9	0	28	2	1
25.5	0	29.5	1	1
29.9	0	35	4	0
22.8	0	30.1	6	0
27.4	0	28.5	1	0
20.9	0	30.2	6	0
