A	DA	B	DB	R
23.1	0	24.1	1	0
24.8	0	39.6	12	0
22.5	0	20.3	1	0
25.8	0	34.3	9	0
23.2	0	29	2	1
27.4	0	38.6	6	0
27.1	0	29.7	2	0
21.3	0	24.9	2	0
28.4	0	39.2	9	0
22.4	0	19.6	1	0
26.3	0	44	12	0
21.3	0	28.5	2	0
29.2	0	31	1	0
28.7	0	39.6	6	0
23.2	0	37.6	1	1
26.5	0	38.2	6	0
28.7	0	31.1	1	0
25.7	0	55.1	6	1
29	0	31.7	1	0
23.3	0	49.2	12	1
28.7	0	48.8	9	1
26.3	0	52.7	4	1
22.8	0	26	2	0
22.9	0	23	4	0
27.9	0	54.8	6	1
26.4	0	31.6	6	0
20.4	0	27.6	2	0
28	0	41.2	6	0
23.5	0	27.6	2	0
25.1	0	30.2	6	0
21.8	0	39.9	9	0
23.3	0	32.5	4	1
20.4	0	22.4	1	0
20.3	0	33.2	12	0
20.1	0	24.1	4	0
