A	DA	B	DB	R
20	0	30	12	0
22.9	0	24.2	1	0
28.9	0	53.1	6	0
21.7	0	32.4	9	0
29	0	36.4	4	0
23.3	0	29.9	4	0
22.1	0	17.8	1	0
29.8	0	44.4	6	0
24	0	45.6	4	0
20.3	0	53.5	2	1
26.8	0	158.4	9	0
21.8	0	433.2	6	1
28	0	44.6	9	0
23.4	0	66.9	1	1
26.9	0	29	1	0
20.1	0	23.3	2	0
26.1	0	234.5	9	1
23.6	0	152.3	9	0
24.1	0	31.3	4	0
28.6	0	48	9	0
20.8	0	15.9	4	0
25.7	0	38.9	6	0
29.3	0	22.6	2	0
22.1	0	26.4	2	0
28.4	0	60.8	12	0
22.6	0	36.4	6	0
29.9	0	56	2	1
28.9	0	80.1	6	0
29.2	0	23.4	2	0
21.2	0	25.7	2	0
24.6	0	44.9	1	1
21.9	0	24.3	1	0
29.8	0	57.8	2	0
22.8	0	19.7	4	0
25.8	0	19.8	1	0
24.9	0	48.7	9	0
25.7	0	42.5	6	0
20.9	0	120.7	9	0
25.4	0	49.5	9	0
26.9	0	52.9	9	0
28.9	0	23.7	2	0
25.4	0	29.7	12	0
23.3	0	32.9	4	0
24.3	0	25.8	1	0
27.6	0	43.2	9	0
27.3	0	51.8	12	0
22.5	0	26.7	2	0
25.2	0	76	12	0
25.6	0	271.2	12	1
21.8	0	45.2	2	1
28	0	46.2	1	1
28.3	0	50.2	9	0
24.4	0	37.7	2	0
28.5	0	27.3	9	0
28.3	0	30.7	1	0
28.4	0	56.6	12	0
21.1	0	20.9	4	0
26.6	0	23.4	1	0
20.8	0	40	9	0
20.2	0	39.9	9	0
