A	DA	B	DB	R
23.5	0	22.6	4	0
29.1	0	30.4	1	0
25.4	0	28.1	6	1
22.5	0	30.3	9	1
29.4	0	26.4	9	0
20.1	0	17.9	6	0
27.6	0	28.6	12	0
25.2	0	36.4	4	1
20.9	0	28.1	12	1
21.7	0	22.2	1	0
23.1	0	24.3	2	0
28.1	0	29.7	2	0
22.1	0	19.9	2	0
21.5	0	30	6	1
29.1	0	36	9	1
29.9	0	36.2	9	1
22.8	0	23.8	2	0
28	0	26.1	1	0
24.8	0	30.8	6	1
24.6	0	27.1	9	0
25.8	0	27.3	6	0
27.2	0	32.4	9	1
26.5	0	31	12	1
27.1	0	31	4	1
27.4	0	24.1	12	0
21.8	0	27.7	9	1
29.8	0	56.3	9	1
22.7	0	24.9	4	1
29.5	0	43.8	9	1
22.4	0	27.4	12	1
24.2	0	28.9	12	1
27.2	0	28	6	0
