A	DA	B	DB	R
25.9	0	38.8	12	1
24	0	28.6	6	0
25	0	38.3	4	0
22.9	0	31.8	9	0
28.2	0	40.1	9	1
20.4	0	30.8	12	0
22.7	0	29.1	6	0
20.1	0	24.2	4	0
24.2	0	85	4	1
24.5	0	39.5	12	1
21.6	0	33.7	12	0
21.1	0	110.8	9	1
20.7	0	15.3	2	0
29.7	0	39.1	6	1
29.5	0	127.5	12	1
22.6	0	47.5	4	1
21.3	0	30.5	9	0
29.6	0	27.6	6	0
21.1	0	22.3	1	0
21.3	0	39	4	1
25.1	0	33.3	6	0
27.8	0	78.4	12	1
27.4	0	61.2	9	1
29.1	0	35.6	4	1
29.8	0	39.7	1	1
28.4	0	28.4	4	0
23.7	0	35.2	9	0
26.7	0	33.9	1	1
25	0	41.7	6	0
22.8	0	30.2	1	1
26.4	0	24.9	2	0
24.3	0	58.5	12	1
29.3	0	40.1	6	0
29.2	0	31.1	1	0
24.9	0	31.4	1	0
25	0	40.9	4	1
26.2	0	66.3	12	1
30	0	33.9	2	0
28.3	0	27.2	2	0
23	0	26.7	6	0
20	0	23.6	6	0
27.5	0	27.3	2	0
23.4	0	31.8	9	1
25.5	0	32.1	1	0
25.5	0	26.7	4	1
21.3	0	19.6	2	0
26.8	0	43.8	4	1
26.9	0	32.9	9	0
20.3	0	28.2	2	0
22.9	0	31.9	6	0
26.4	0	38.3	2	1
25.9	0	35.4	12	0
23.6	0	38.4	9	1
20.1	0	22.7	6	0
29.3	0	53.1	12	0
23.5	0	25.2	1	0
22.9	0	32.7	12	0
27.8	0	32.7	4	0
29.9	0	39.7	6	1
28.7	0	39.9	9	0
25.1	0	57	12	1
25.4	0	30.1	9	1
27.3	0	22.5	6	0
24.6	0	26.6	2	0
20.7	0	32.9	1	0
26.1	0	18.3	4	0
23.3	0	24.3	1	0
25.9	0	59.5	1	1
25.3	0	27.6	2	0
25.7	0	19.6	4	0
25.2	0	32.1	6	0
26.5	0	38	9	1
21.6	0	25.5	4	0
25.3	0	118.7	12	1
28.5	0	23.1	4	0
22.4	0	18.8	4	0
21.5	0	21.2	9	0
24.3	0	20.5	2	0
28.3	0	32.3	12	0
26	0	28.7	2	0
27	0	50.8	6	0
24.3	0	37.1	9	0
26.6	0	41.8	9	0
25.3	0	83.1	9	1
28.3	0	107.5	12	1
22.7	0	27.3	12	0
23.7	0	25.4	1	0
24.7	0	28.7	9	0
26.8	0	49.6	4	0
23.8	0	27.5	2	0
23.9	0	19.9	1	0
20.4	0	39.8	12	0
23.5	0	96.1	12	1
28.1	0	49.4	9	0
28.2	0	46	2	1
20.5	0	47.7	6	0
24.8	0	111.3	12	1
28.9	0	34.3	2	0
20.9	0	44	12	0
24.9	0	82.9	9	1
21.8	0	31.8	1	0
27.9	0	23.8	1	0
28.7	0	48.7	2	0
27.2	0	29.9	1	0
24.9	0	45.2	2	0
28.5	0	22.9	1	0
27.1	0	178.2	12	1
28.1	0	39	4	0
21.2	0	17.6	1	0
23.8	0	69	6	1
24.8	0	69.6	6	1
20.9	0	29.3	12	0
21.6	0	46.6	4	0
23.6	0	29.9	9	0
