A	DA	B	DB	R
27.2	0	31.9	4	1
27.7	0	35.9	9	0
27.6	0	37.7	9	1
20.8	0	21.6	1	0
24.2	0	29.8	6	1
23.9	0	47.4	12	1
24.8	0	25.7	1	0
25.8	0	42.3	9	1
20.4	0	28.8	12	0
22.6	0	26.4	12	0
26	0	30.7	4	1
25.5	0	36.4	6	1
21	0	24.7	2	0
26.4	0	47.4	4	1
22.5	0	21.2	6	0
23.5	0	29	6	0
24.5	0	25.6	1	0
22	0	23.1	1	0
23.6	0	32.6	1	1
28.4	0	43.9	4	1
21.1	0	27.1	6	1
29.3	0	28.8	4	0
21.3	0	36.3	9	1
29.5	0	40.3	9	1
25.6	0	29.2	9	0
24.5	0	28.2	4	0
20.1	0	20.9	1	0
22.7	0	25	6	1
25.6	0	26	6	0
23.2	0	24.1	1	1
25.7	0	31.3	6	1
26.2	0	28	2	1
23.5	0	25.1	2	1
25.6	0	26.4	1	0
22.6	0	28.2	2	1
27.8	0	32.8	1	1
22	0	21	2	0
25	0	26.6	6	0
23.4	0	24.9	2	0
23	0	29	4	1
24.3	0	28.4	2	0
26.5	0	26.9	4	0
24.4	0	34.4	12	1
24.6	0	33.1	6	1
25.7	0	28.9	4	0
26.8	0	39	9	1
24	0	29.8	4	0
24.8	0	28.4	9	0
23.1	0	34.3	9	1
22.4	0	26.4	2	1
27.9	0	36	9	1
29.6	0	34.1	9	1
24.4	0	25.6	6	0
26.3	0	40.3	12	1
23	0	25.6	4	0
25.8	0	32.4	9	0
