A	DA	B	DB	R
28.6	0	42.9	12	0
29.5	0	29.2	4	0
28.1	0	27.1	2	0
28.8	0	44.1	9	0
23.4	0	53.1	12	1
23.2	0	37.6	9	0
28.8	0	44.2	9	1
29.3	0	25.4	1	0
23.8	0	58.7	12	1
22.4	0	37.9	6	0
22.5	0	75.4	12	1
26.8	0	37	6	0
26.8	0	28.7	1	0
27.7	0	80.9	12	1
24.7	0	26.5	1	0
26.7	0	35.4	9	0
28.6	0	45	4	0
21.9	0	20.3	2	1
20.2	0	37.3	1	0
28.4	0	390.5	9	1
22.8	0	25.5	2	0
29.7	0	23.1	6	0
27.6	0	298.1	12	1
24.4	0	18.2	2	0
20.4	0	38.7	1	1
27.8	0	23.9	4	0
23.6	0	37.7	9	0
25.7	0	30.1	12	0
29.9	0	32.3	1	0
25.9	0	34.1	4	0
25.2	0	22.6	2	0
23.3	0	27.3	2	0
26.2	0	30.9	2	0
29.9	0	39.2	9	0
25.6	0	23.3	1	0
28.6	0	61.5	12	0
28.7	0	95.2	12	1
29.8	0	45.2	9	0
28	0	29.3	1	0
29.7	0	32.9	2	0
20.1	0	25	4	0
21.5	0	24.6	2	0
28.4	0	38.7	2	0
22.9	0	16.5	1	0
29.3	0	30.4	12	0
29.2	0	31.3	1	0
28.4	0	24.8	2	0
22.5	0	48	6	1
25.3	0	27.2	4	0
30	0	52.5	9	0
23	0	42.8	6	0
29.9	0	32.7	1	0
20.3	0	24.2	2	0
22.6	0	27.2	2	0
21.3	0	31.6	2	0
21.3	0	19.8	4	0
25.7	0	30.7	2	0
28.2	0	74.3	6	1
23.3	0	44.4	9	0
21.5	0	26.2	2	0
27.5	0	45.8	6	0
20.1	0	67.6	12	1
