A	DA	B	DB	R
24.4	0	33.4	2	0
23	0	27.2	4	0
21	0	18.5	12	0
25.7	0	66.4	4	1
20.6	0	21.7	1	0
26.8	0	27.3	12	0
20.5	0	41	4	1
27.6	0	41.7	9	1
30	0	29.7	9	0
21.8	0	22.9	1	0
28.1	0	33.9	4	1
27.9	0	29.2	1	0
27	0	29.6	2	0
25.8	0	37.2	9	1
28.3	0	42.9	12	1
27.7	0	22.8	2	0
22.2	0	19.9	4	0
24.3	0	26.3	2	0
20.7	0	25.8	6	0
24.3	0	28.7	4	1
21.7	0	24.3	12	0
28	0	32.5	12	0
26.8	0	55.5	12	1
23.6	0	29.6	6	0
26.2	0	40.3	12	1
28.4	0	39	9	1
22.7	0	28	6	0
26.6	0	27.7	1	0
24.5	0	33.6	9	0
24.1	0	28.4	4	0
29.7	0	45.9	12	1
25.8	0	26.9	1	0
28.3	0	36.8	2	1
22.3	0	33.7	12	0
25.3	0	35.6	9	0
26.6	0	32.1	9	0
29.9	0	47.2	12	0
22.9	0	28.2	9	0
28.1	0	45.5	12	0
23.5	0	31.3	6	1
26.2	0	31.8	4	1
