A	DA	B	DB	R
27.2	0	56.8	12	0
20.2	0	15.7	2	0
23.5	0	22.1	6	1
22.5	0	16.2	6	0
26.9	0	32	4	0
23.8	0	17.3	4	0
25.1	0	21.3	9	0
29	0	30.6	1	0
20.3	0	27.3	6	0
29	0	36.8	4	1
22.2	0	35.7	12	0
25.4	0	68.3	4	1
20.8	0	77.3	9	1
29.5	0	39.9	6	0
25.1	0	20.1	1	0
27.7	0	35.2	4	0
24	0	28.5	9	0
24	0	42.4	4	1
20.3	0	47.9	9	0
20.1	0	19.1	4	0
23.1	0	20.9	2	1
23.7	0	21.5	6	0
29.2	0	68.9	4	0
22.9	0	24.5	1	0
27.8	0	31.8	2	0
22.8	0	48	1	1
21	0	17.6	4	0
25	0	47.2	12	0
29	0	25.9	4	0
25.9	0	153.6	12	0
21.4	0	26.9	6	0
22.1	0	32.9	9	0
21.4	0	22.2	4	0
28	0	45	9	1
27.3	0	36.6	6	0
21	0	22.3	1	0
27.8	0	40.4	12	0
20.1	0	31.3	6	0
29.5	0	32.3	6	0
27.1	0	45.7	9	0
25.3	0	36.3	2	0
28.9	0	71.1	4	0
22.6	0	24.2	1	0
28.1	0	-1048.3	12	0
27.5	0	-209.5	9	0
28.9	0	15.8	1	0
29.1	0	45.5	9	0
21.4	0	15.1	12	0
21.6	0	27.6	4	0
25.5	0	41.3	9	0
