Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,666.732051,51.101619,90.552143,7.230041,30.949059,218,10.148976,0.982973,47.199175,12.868263,285,0.007812,0.046875,0.179688,1368.98433,492.702183,177.200835,67.113613,24.154421,8.687162,73.448083,26.415677,2039.801269,2.780473,0.003906,0.042969,0.152344,1516.89967,607.43265,181.698235,65.75572,26.331452,7.876393,76.892993,23.000609,2306.871069,3.343085,0.166482,21.88943,68.859813,1.399382,1.543394,1.632704,1.194296,1.207188,17.894022,652.5,46.779135,99.116483,3.74623,1.543394,1.389604,1.345201,1.328315,1.43147,1.380797,1.302015,1.216924,1.333535,1.219217,1.280015,1.089978,1.358666,1.222151,1.305221,1.120764,1.220002,1.048222,1.102513,1.414937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,753.988128,45.915861,79.886553,5.06271,34.17114,163,14.248252,6.725801,43.073944,12.311828,250,0.003906,0.109375,0.214844,732.29175,383.681785,404.129656,48.145635,25.225743,26.570119,48.647289,51.239889,1520.993022,0.949403,0.003906,0.042969,0.210938,999.170505,373.968682,440.919094,55.052546,20.60502,24.29387,45.842463,54.049492,1814.939679,0.848157,0.196223,24.173293,60.251144,1.544171,1.771662,3.572285,0.954063,1.008042,11.070005,387,34.997113,97.62991,3.187061,1.771662,1.695864,1.671657,1.55814,1.391134,1.372085,1.271737,1.209244,1.164905,1.234723,1.278537,1.133389,1.1996,1.238911,1.037526,1.15908,1.211133,1.207831,1.206332,1.071762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,910.182527,82.439449,66.578142,6.741133,45.640585,242,25.854701,13.640184,57.498646,17.351852,390,0.003906,0.046875,0.164062,2196.574622,1251.299645,854.893776,51.034502,29.07229,19.862325,59.373009,40.563918,4304.097316,1.46369,0.003906,0.042969,0.152344,3914.976932,1264.296684,736.615114,66.159589,21.365477,12.448133,63.135985,36.784816,5917.474688,1.71636,0.172963,32.290031,112.002459,1.360833,1.443816,4.563294,1.129145,1.142708,15.015456,757,43.522406,99.016563,3.579955,1.443816,1.52987,1.606069,1.541294,1.623097,1.526534,1.266945,1.36101,1.338611,1.465412,1.554233,1.293459,1.276579,1.067604,1.225402,1.188376,0.943445,1.116165,0.933273,1.071058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,533.33513,2.66448,112.502468,0.564909,3.796435,0,0,0.013301,2.691646,1.454732,10,0.023438,0.125,0.25,0.000333,1.028249,2.329307,0.009907,30.578084,69.268982,30.581114,69.275845,3.362699,0.44144,0.039062,0.148438,0.160156,0.051165,0.56399,2.509521,1.630637,17.974349,79.978364,18.272304,81.30414,3.137749,0.22474,0.119579,2.684863,2.644695,0.517786,0.420286,0,0.651337,0.067653,168.894503,561.666667,12.32899,93.002576,2.535287,0.420286,0.590332,0.274471,0.40507,0.069039,0.473394,0.290033,0.313404,0.474593,0.093109,0.380373,0.471033,0.334868,0.112753,0.004766,0.018184,0.042498,0.110196,0.1318,0.356484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,788.293194,70.870267,76.776776,7.198435,46.544443,330,27.138158,31.553679,68.124822,17.897059,340,0.003906,0.089844,0.234375,2440.300229,1851.063901,915.343491,46.852813,35.539705,17.574238,66.870341,33.067109,5208.43908,2.022262,0.003906,0.042969,0.257812,2189.249634,1670.480334,919.817133,45.792315,34.94127,19.239723,64.458148,35.492611,4780.823229,1.8161,0.174806,32.925518,94.63738,1.483447,1.641674,3.787604,1.226678,0.911707,11.916702,395,35.183656,98.539064,3.305893,1.641674,1.624104,1.669499,1.559015,1.341761,1.351525,1.453141,1.293899,1.359371,1.269846,1.212872,1.308912,1.172237,1.321149,1.439167,1.326568,1.590568,1.10568,1.472983,1.862999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,671.007597,39.828961,89.737261,5.40111,22.582938,48,2.981366,1.344858,39.03444,10.74,195,0.015625,0.089844,0.164062,608.969047,783.716962,138.568864,39.75644,51.164827,9.046445,84.929953,15.016451,1531.749448,5.655794,0.039062,0.050781,0.152344,447.501917,891.103511,144.124345,30.174249,60.085507,9.718045,86.050643,13.917567,1483.058985,6.18288,0.14355,15.973517,54.019798,1.458019,1.524514,1.398612,1.495142,0.666027,10.371259,279,32.548028,98.66791,3.169923,1.524514,1.555583,1.836093,1.629342,1.943197,1.903538,1.791318,1.712651,1.97614,1.919091,2.028672,1.409007,1.692154,1.425176,1.953123,1.678658,1.75636,1.492011,1.906305,1.430578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,788.454726,73.891422,76.868989,8.162476,40.865169,337,22.878479,17.943051,66.975885,16.942529,375,0.003906,0.109375,0.308594,3241.233153,1203.55279,502.141988,65.504725,24.32358,10.148197,70.512787,29.419093,4948.09064,2.396838,0.003906,0.042969,0.152344,2832.187629,1312.208403,590.226567,59.802448,27.707654,12.462802,68.92871,31.003883,4735.905837,2.223228,0.150597,28.906078,100.29384,1.446905,1.553379,4.639627,1.228619,0.957492,13.814785,784,45.336586,98.804246,3.473841,1.553379,1.61699,1.591356,1.599367,1.628394,1.647832,1.267238,1.389791,1.499191,1.352974,1.425473,1.403718,1.450045,1.263991,1.6066,1.303965,1.165343,1.325921,1.643941,1.64516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,694.772107,43.10443,86.760833,5.381867,24.106823,63,4.608632,23.421234,43.457969,12.90566,255,0.003906,0.105469,0.28125,785.650028,573.133864,292.639553,47.569768,34.702277,17.718825,66.187532,33.795054,1651.574235,1.958498,0.003906,0.042969,0.152344,752.374122,728.871359,313.150987,41.921834,40.612275,17.448585,69.926924,30.043278,1794.707063,2.32754,0.274406,17.052367,58.483016,1.377497,1.458181,2.976628,1.169809,0.765095,9.603284,512,29.923397,98.303343,3.060392,1.458181,1.85296,1.823064,1.672794,1.893179,1.574157,1.651755,1.829632,1.554132,1.349551,1.686094,1.568091,1.621813,1.553009,1.316065,1.528177,1.168574,1.309689,1.618623,1.057374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,761.964918,73.753423,79.480303,7.488002,40.983221,245,17.896275,23.417261,73.672903,18.513514,410,0.003906,0.089844,0.179688,2620.600622,1884.139508,562.827824,51.70523,37.174633,11.10476,76.974448,22.993712,5068.347317,3.34763,0.003906,0.042969,0.152344,2868.496906,1929.243164,595.898824,53.169789,35.760001,11.045441,76.360963,23.586145,5394.9752,3.237535,0.152033,28.990117,100.17037,1.260395,1.254178,3.474798,1.309957,1.052652,13.796248,891,38.401109,99.071938,3.468908,1.254178,1.408629,1.48428,1.660479,1.616792,1.518499,1.566215,1.668396,1.457642,1.684443,1.659159,1.800009,1.477231,1.489093,1.805203,2.49267,1.517949,1.572054,1.598004,2.079025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,761.576335,50.016042,79.145485,5.387742,40.647983,22,23.157895,,,10.666667,225,0.019531,0.042969,0.261719,406.288539,56.269346,1310.296739,22.913281,3.173398,73.896246,4.11666,95.86119,1773.157377,0.042944,0.003906,0.042969,0.253906,824.607704,510.689203,1035.516893,34.775651,21.536968,43.670189,33.019828,66.953814,2371.221452,0.493173,0.137856,28.900464,62.477185,0.629045,1.255931,2.633247,0.835343,0.947582,10.182692,86,28.907385,96.800731,2.804164,1.255931,1.189131,2.49937,1.520534,1.271978,1.248309,   NaN,0.907992,   NaN,1.119232,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
