type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagReward,lagDelay,rewardRate,lagRewardRate,windowReward
1,1,2,41,4,1.13675568300005,1.2,1.2,0,-0.863244316999953,-1.68739577478811,-1.28052681889715,5.02772031299992,0,10,0.3,0,0.4
1,1,2,42,4,0.617755432999729,0.5,1.7,0,-1.38224456700027,-2.16004773652003,-2.16948232556121,1.13675568300005,1.2,4,0.125,0.3,0.566666666666667
1,1,2,43,6,2.53868409400002,1.2,2.9,0,-0.461315905999982,-0.410663800831564,-0.243083588166494,0.617755432999729,0.5,4,0.2,0.125,0.966666666666667
1,1,2,44,4,1.55168658300045,0,2.91,0,-0.448313416999554,-1.3095194560999,-0.569823676769175,2.53868409400002,1.2,6,0,0.2,0.566666666666667
1,1,2,45,6,2.19723623499976,0.5,3.41,0,-0.802763765000236,-0.72161933579621,-0.639212555856543,1.55168658300045,0,4,0.0833333333333333,0,0.566666666666667
1,1,2,46,10,3.93971184800012,1.2,4.61,0,-1.06028815199988,0.865247947512686,-0.17498470511803,2.19723623499976,0.5,6,0.12,0.0833333333333333,0.566666666666667
1,1,2,47,8,3.54069877699931,2.3,6.91,0,-0.459301223000693,0.501867947666648,0.427024072232234,3.93971184800012,1.2,10,0.2875,0.12,1.33333333333333
1,1,2,48,6,1.94969888000014,0,6.92,0,-1.05030111999986,-0.947050858117114,-0.926391738024595,3.54069877699931,2.3,8,0,0.2875,1.16666666666667
1,1,2,49,4,1.39816797900039,0,6.93,0,-0.601832020999609,-1.44932838556174,-0.832773855311757,1.94969888000014,0,6,0,0,0.766666666666667
1,1,2,50,8,4.37257421899994,2.3,9.23,0,0.372574218999944,1.25945440273669,1.50816368237349,1.39816797900039,0,4,0.2875,0,0.766666666666667
1,1,2,51,8,4.03860804600026,2.3,11.53,0,0.0386080460002631,0.955312416638798,1.07412747953897,4.37257421899994,2.3,8,0.2875,0.2875,1.53333333333333
1,1,2,52,4,3.31020349800019,2.3,13.83,0,1.31020349800019,0.291956592539534,2.44220434277409,4.03860804600026,2.3,8,0.575,0.2875,2.3
1,1,2,53,10,5.48566217699954,0,13.84,0,0.48566217699954,2.27314024764401,1.74470938320379,3.31020349800019,2.3,4,0,0.575,1.53333333333333
1,1,2,54,10,4.24203371899966,0.5,14.34,0,-0.757966281000336,1.14057156325721,0.200425486038534,5.48566217699954,0,10,0.05,0,0.933333333333333
1,1,2,55,8,2.85495765300038,0,14.35,0,-1.14504234699962,-0.122634424920153,-0.464193355313194,4.24203371899966,0.5,10,0,0.05,0.166666666666667
1,1,2,56,6,3.92110111999955,0.5,14.85,0,0.921101119999548,0.848299213675425,1.36072037484483,2.85495765300038,0,8,0.0833333333333333,0,0.333333333333333
1,1,2,57,4,2.23737639699993,0,14.86,0,0.237376396999935,-0.685063811374774,0.60464153017037,3.92110111999955,0.5,6,0,0.0833333333333333,0.166666666666667
1,1,2,58,4,2.05417264900007,0,14.87,0,0.0541726490000656,-0.851906911910323,0.290845957575023,2.23737639699993,0,4,0,0,0.166666666666667
1,1,2,59,6,2.41878236299999,2.3,17.17,0,-0.581217637000009,-0.519857945482132,-0.382186961268199,2.05417264900007,0,4,0.383333333333333,0,0.766666666666667
1,1,2,60,4,1.90927348200057,0,17.18,0,-0.0907265179994283,-0.983866146102579,0.0426593480017979,2.41878236299999,2.3,6,0,0.383333333333333,0.766666666666667
1,1,2,61,6,2.36957759400048,2.3,19.48,0,-0.630422405999525,-0.564668580147863,-0.439271619541576,1.90927348200057,0,4,0.383333333333333,0,1.53333333333333
1,1,2,62,8,2.67596596099975,0.5,19.98,0,-1.32403403900025,-0.285641618765944,-0.696818335373542,2.36957759400048,2.3,6,0.0625,0.383333333333333,0.933333333333333
1,1,2,63,6,2.04665554999974,2.3,22.28,0,-0.953344450000259,-0.858752711289098,-0.813907958773317,2.67596596099975,0.5,8,0.383333333333333,0.0625,1.7
1,1,2,64,10,4.03380268399997,0.5,22.78,0,-0.966197316000034,0.950936187964011,-0.0581467846195908,2.04665554999974,2.3,6,0.05,0.383333333333333,1.1
1,1,2,65,4,2.05700467299994,2.3,25.08,0,0.0570046729999376,-0.849327796198509,0.295696713099109,4.03380268399997,0.5,10,0.575,0.05,1.7
1,1,2,66,8,3.36053690999961,0,25.09,0,-0.63946309000039,0.3377950789799,0.192878284514385,2.05700467299994,2.3,4,0,0.575,0.933333333333333
1,1,2,67,10,3.9026034110002,1.2,26.29,0,-1.0973965889998,0.83145340590157,-0.221064353214943,3.36053690999961,0,8,0.12,0,1.16666666666667
1,1,2,68,8,3.21932076499979,1.2,27.49,0,-0.780679235000207,0.209189961810223,0.00934796225414899,3.9026034110002,1.2,10,0.15,0.12,0.8
1,1,2,69,6,2.48000247800064,1.2,28.69,0,-0.519997521999358,-0.464104971466236,-0.311162761473594,3.21932076499979,1.2,8,0.2,0.15,1.2
1,1,2,70,4,1.53958415800025,0,28.7,0,-0.460415841999747,-1.32054109803177,-0.590552987300152,2.48000247800064,1.2,6,0,0.2,0.8
1,1,2,71,6,2.31911275400034,2.3,31,0,-0.680887245999656,-0.610626757671929,-0.497818142669374,1.53958415800025,0,4,0.383333333333333,0,1.16666666666667
1,1,2,72,6,3.36579821499981,0.5,31.5,0,0.365798214999813,0.342586533569015,0.716488581572215,2.31911275400034,2.3,6,0.0833333333333333,0.383333333333333,0.933333333333333
