type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagDelay,rewardRate,lagRewardRate,windowReward
2,1,1,2,4,0.41586461299994,0,NaN,0,-1.58413538700006,-2.33912069603833,-2.37130186462041,0.0977407440004754,-4.24070297101678,0,NaN,NaN,10,0,0,NaN
2,1,1,5,8,1.25324712500151,0,NaN,0,-2.74675287499849,-1.62202075477593,-2.15836252670847,0.705968522999683,-3.62546264611279,0,0,0,10,0,0,0
2,1,1,6,4,2.87911197700123,0,NaN,0,0.87911197700123,-0.22969696826314,1.0589587819393,1.25324712500151,-2.15836252670847,0,0,0,8,0,0,0
2,1,1,7,10,5.32874689699929,0,NaN,0,0.328746896999291,1.8680696223552,1.05061392746696,2.87911197700123,1.0589587819393,0,0,0,4,0,0,0
2,1,1,8,8,3.54103285799829,0,NaN,0,-0.458967142001711,0.337144849043002,0.0772538974991717,5.32874689699929,1.05061392746696,0,0,0,10,0,0,0
2,1,1,9,6,3.50130272000024,0,NaN,0,0.50130272000024,0.303121592984492,1.5787023388544,3.54103285799829,0.0772538974991717,0,0,0,8,0,0,0
2,1,1,10,6,2.61213645599855,0,NaN,0,-0.387863544001448,-0.458323823595846,-0.139431874779581,3.50130272000024,1.5787023388544,0,0,0,6,0,0,0
2,1,1,11,6,2.27198527299879,0,NaN,0,-0.728014727001209,-0.749615306106542,-0.79670533305246,2.61213645599855,-0.139431874779581,0,0,0,6,0,0,0
2,1,1,12,6,2.30821072900108,0,NaN,0,-0.691789270998925,-0.718593315559654,-0.72670695605387,2.27198527299879,-0.79670533305246,0,0,0,6,0,0,0
2,1,1,13,4,2.688899236,0,NaN,0,0.688899235999997,-0.392587336099112,0.794072969224619,2.30821072900108,-0.72670695605387,0,0,0,6,0,0,0
2,1,1,14,4,1.42467015900002,0,NaN,0,-0.575329840999984,-1.47522111918583,-0.966462864263548,2.688899236,0.794072969224619,0,0,0,4,0,0,0
2,1,1,15,4,1.12069135000093,0,NaN,0,-0.879308649999075,-1.73553606839252,-1.38977664148967,1.42467015900002,-0.966462864263548,0,0,0,4,0,0,0
2,1,1,16,6,2.52847490000022,0,NaN,0,-0.471525099999781,-0.529968139105762,-0.301090933997237,1.12069135000093,-1.38977664148967,0,0,0,4,0,0,0
2,1,1,17,10,3.9976916859996,0,NaN,0,-1.0023083140004,0.728208686707772,-0.295787648975443,2.52847490000022,-0.301090933997237,0,0,0,6,0,0,0
2,1,1,18,4,1.77835683599915,0,NaN,0,-0.221643164000852,-1.17233839633658,-0.473927073074546,3.9976916859996,-0.295787648975443,0,0,0,10,0,0,0
2,1,1,19,8,2.1708848039998,0,NaN,0,-1.8291151960002,-0.836193589437881,-1.26165011301879,1.77835683599915,-0.473927073074546,0,0,0,4,0,0,0
2,1,1,20,8,2.67648171899964,0,NaN,0,-1.32351828100036,-0.40322118691873,-0.767582530159208,2.1708848039998,-1.26165011301879,0,0,0,8,0,0,0
2,1,1,21,4,2.077145569001,0,NaN,0,0.0771455690010043,-0.916468014743161,-0.0578408742500715,2.67648171899964,-0.767582530159208,0,0,0,8,0,0,0
2,1,1,22,10,3.502682155,0,NaN,0,-1.497317845,0.304302884381348,-0.79650437911867,2.077145569001,-0.0578408742500715,0,0,0,4,0,0,0
2,1,1,23,4,1.61251239600097,0,NaN,0,-0.387487603999034,-1.31436075347553,-0.704878159957024,3.502682155,-0.79650437911867,0,0,0,10,0,0,0
2,1,1,24,10,4.21872747099951,0,NaN,0,-0.781272529000489,0.917494641655003,-0.0722034378062077,1.61251239600097,-0.704878159957024,0,0,0,4,0,0,0
2,1,1,26,8,2.91047638300006,0,NaN,0,-1.08952361699994,-0.202837781001478,-0.538923741675967,0.248813969999901,-3.13989118385193,0,0,0,8,0,0,0
2,1,1,27,10,3.64470386699941,0,NaN,0,-1.35529613300059,0.425924437104399,-0.652845231590573,2.91047638300006,-0.538923741675967,0,0,0,8,0,0,0
2,1,1,28,6,2.00156626200078,0,NaN,0,-0.998433737999221,-0.981191024638564,-1.31923545325939,3.64470386699941,-0.652845231590573,0,0,0,10,0,0,0
2,1,1,29,8,3.25419237700044,0,NaN,0,-0.745807622999564,0.091506459027454,-0.203045643317715,2.00156626200078,-1.31923545325939,0,0,0,6,0,0,0
2,1,1,30,6,2.2059115789998,0,NaN,0,-0.794088421000197,-0.806198099998917,-0.924379401308189,3.25419237700044,-0.203045643317715,0,0,0,8,0,0,0
