type,id,D1,D2,D3,D4
1,1,1.85517761310523,2.66507573374142,3.1347301519649,4.08062891603337
1,2,1.78012381721058,2.75998901862509,3.4184897672931,4.56001905842845
1,3,2.0495525718277,3.44844326142382,4.66856487358589,5.70996524715248
1,4,2.17522616106787,3.36691837447367,3.95755121131036,4.57806053954386
1,5,1.09899089887934,2.38694968422411,3.54348997610352,5.13974613747371
1,6,1.15442607554954,1.68492426541374,2.3366507828274,2.89524319035002
1,7,2.65595885801718,4.00537616974132,4.80091853376793,5.79094672907143
1,8,1.9345555418449,3.01934989482758,3.77455176462046,4.70490199655941
1,9,1.74756941755536,2.98531528674138,3.91777488140681,4.6737306723447
1,10,1.67941554158186,3.01565599910531,3.8023943144036,5.02915349015252
1,11,2.79596852733939,3.79849948791244,4.32431749230519,4.99918811476281
1,12,2.49641765637512,3.62389489182383,4.61674901420378,5.40796224746332
1,13,1.83416090687274,3.14681462987937,4.04342881410004,5.33376083375004
1,14,2.38746942532194,3.4686368762413,4.39128135081354,5.54575505413564
1,15,2.32797922512281,3.03309210133927,3.96133300558636,4.8114852934
1,16,2.02864411523617,2.96985088875015,3.54432276576797,4.60389273348187
1,17,2.36098252733894,3.2602797375834,3.93076724728813,5.214481273931
1,18,1.98364150759261,2.5844668184182,3.4789200521551,4.27779254474135
1,19,1.66839308351727,2.78767586253452,3.97563405783048,5.17096793723325
1,20,2.07291730687497,3.00348231735589,3.5091598376034,4.21351724876774
1,21,2.35383846449006,3.4886717216439,4.47374210175424,5.87325145047436
1,22,1.56799242346517,2.40149756022029,3.28940311413557,4.17571689215495
1,23,2.76889571498301,3.40383760337281,3.93422559637288,4.75310569577963
1,24,3.02409386015685,4.24480675983647,5.17607307711857,6.10112264341666
1,25,1.89916415829822,2.83805528922425,3.7506109845,4.56670667876269
2,1,2.11868071624147,2.66189769586462,3.48931528408777,4.42418562958627
2,2,1.94795077832149,2.96198255900017,4.13784648025012,5.30710356350857
2,3,1.82483137883059,2.83864661979653,3.63345355672879,4.96859467606897
2,4,3.14912297812007,4.47398975886204,5.70236998071183,6.90984977162721
2,5,2.27026266558622,3.00313842787725,3.77291945449998,4.91464391973216
2,6,2.28696052542102,3.29022358466105,3.75395791258331,4.53498007224134
2,7,1.76122766020351,2.82452154043109,3.59046473558606,4.60138658681015
2,8,2.13890668905352,3.37516566090933,3.85669700900006,4.74607831491498
2,9,1.91495557798187,2.49481886163159,3.38992922859325,4.20118492575864
2,10,2.04787414574996,3.18051837624136,4.067555999644,5.52272839193091
2,11,2.24320954338597,3.1120699381186,3.94913090067797,4.6951489537759
2,12,2.44125454981037,3.58922310636206,4.55478697438595,5.64924254998306
2,13,2.11523360800002,3.07356252801721,3.90891989121052,4.74068879976271
2,14,1.95076781412725,2.65597786791074,3.48142551601789,4.31212575075001
2,15,2.25487447113201,3.30993036357869,4.01875832933324,4.87444290438588
2,16,1.80888968730475,2.31405467127121,2.75850671381359,3.510788180271
2,17,2.68748901974132,3.62919614806665,4.35962374703387,5.38951953217244
2,18,1.71172449730505,2.69031154913776,3.90949475150854,4.85409211479628
2,19,2.3020814602546,3.20563820452722,4.36834750420743,5.61736067537923
2,20,1.99499293581035,2.92322469070685,3.98434403372411,5.04342848698305
2,21,2.00518020922397,2.87896020881052,3.98982610271651,4.55417643143301
2,22,1.94074103785006,3.03795631501716,3.86800146338313,4.95841638866107
2,23,1.96220736536669,3.22231620872414,4.21485794531034,5.20369925976657
2,24,1.89300864225864,3.03199011593103,4.27348872355934,5.28764249489831
2,25,2.11509784766652,2.94239268130483,3.45266428260345,3.7663376458982
3,1,2.65850387267233,3.72034596189856,4.61888554853443,5.82783208049993
3,2,2.16422512173075,3.08276435198311,3.97610438641371,4.7954367797628
3,3,2.62045949984436,4.21527209940808,5.21174681854382,5.82277433548216
3,4,2.49908077910521,3.25189007318169,4.0439693931637,5.09789846043851
3,5,1.91322584355171,3.23344826196607,4.02477604387934,4.99729611147457
3,6,2.22726841708774,3.11584337570915,4.01373539606896,4.62552632810346
3,7,2.4224799665,3.68753227687718,4.76365202232145,5.11192358650855
3,8,1.88525404799995,2.67405187826316,3.49575540900013,4.21639655131603
3,9,2.37889073403383,3.10016299525853,4.22039450603651,5.16338739948276
3,10,2.23526908069233,2.97404103807716,3.22997393831683,3.92980729586658
3,11,1.65446193783925,2.59513979235086,3.33905437086215,4.08459119968431
3,12,2.53690187357155,3.43939953001741,4.24357931552534,5.06136023329988
3,13,1.66524837396555,2.33955574229319,3.02205386000003,3.16806854673328
3,14,2.4886809076547,3.94925620419635,5.14176624824133,6.74551162570678
3,15,2.02401817498173,3.12170440078945,4.06757482415242,5.17514363059324
3,16,1.54410484078167,2.43488784101736,3.41793077984224,4.26121233177614
3,17,1.75813142831036,2.35501847773676,3.08840224976269,3.97118640435597
3,18,1.75905007793215,2.73261395616939,3.6479460278622,4.90875076454217
3,19,1.98316520727271,2.85577546524558,3.78685194803451,4.63245756800005
3,20,1.68733284531579,2.71586026878953,3.69861203538592,4.65298626758182
3,21,2.85583209599999,3.40880321898301,4.16988028162713,4.94650526837289
3,22,2.77503445821438,4.30475014072859,5.59938498251662,6.97451095666687
3,23,2.15203733868966,2.64693226710522,3.033227780017,3.84600360650883
3,24,2.04553581375927,3.14064079242095,3.6790610197322,4.73082153194548
3,25,2.19070400432693,3.34450365663792,4.02935743786208,4.66393296484744
