type,id,D1,D2,D3,D4
1,1,3.07472893113563,3.02560137161021,2.73987984469643,2.97200682508769
1,2,3.12719490220378,3.06361551374994,2.98129372154398,3.31341065869483
1,3,3.67438009245617,3.95266862306901,4.09121780537261,4.14795721272889
1,4,3.35099791727591,3.3563539619107,3.57155143817542,3.77016749055937
1,5,2.99439685350875,2.86116143339659,2.87316594789474,3.43299816891387
1,6,2.05825389581635,1.97137572242355,2.00073031013547,2.04106929451719
1,7,4.27267298106658,4.54600497203648,4.08234005012503,4.33831911216061
1,8,3.24805015118644,3.23420466873334,3.33876594491367,3.65185842183934
1,9,3.16447623013319,3.44508746383898,3.40023937172737,3.48435167226323
1,10,3.22455244201663,3.53931067186207,3.31608765375934,3.59534968112738
1,11,3.86685393111663,3.92975406400017,3.95258234989485,4.26444750873238
1,12,4.16175654658839,3.99713744113482,3.93602315309449,4.26021837627488
1,13,3.48767099698305,3.74181006674136,3.55432948130367,3.77204656037295
1,14,4.0331643488304,3.76881099513351,3.86215492364889,4.17083998506897
1,15,3.42147700894746,3.58944218089842,3.53563829201726,3.69957537930348
1,16,3.35671608618623,3.10801214273581,3.25327938790903,3.43724794787512
1,17,3.54303672318338,3.72803974977193,3.73153851794911,3.77469348113557
1,18,2.85933171440346,3.21840127048271,3.07188659213207,3.31851841685718
1,19,3.21101159361022,3.54887965798304,3.35262977438974,3.59180274794736
1,20,2.98965271428569,3.37431078782124,3.18123425199997,3.29340468682145
1,21,3.84262204882738,3.8826366829649,4.32727814076928,4.48625879580342
1,22,2.94701270328302,2.82355872193234,2.72497221971435,2.94891037286157
1,23,3.58361236284997,3.85605791510159,3.71098239671933,3.75787481957622
1,24,4.63194546922801,4.34765989998273,4.79490739100024,5.11812591092712
1,25,3.17722483801719,3.44028173713791,3.18085063788148,3.35658040376786
2,1,3.05935307634546,3.24583240286674,3.45250225381687,2.89938043345625
2,2,3.68884527483659,3.54886004982141,3.37557242115802,3.78907695416053
2,3,3.11852304280696,3.4105683328305,3.3282679524166,3.40050077955184
2,4,4.81228831962071,5.46770427174084,5.15157287605263,5.1414054940526
2,5,3.52686116394744,3.46819192770691,3.44499888187928,3.52878601901755
2,6,3.32220172361011,3.42389800123737,3.43808013643104,3.7586841029122
2,7,3.28194552828082,3.09841774926306,3.17037994405066,3.21561140403389
2,8,3.39945558466704,3.65058205085976,3.57386402367203,3.61056715276348
2,9,2.90681446189836,3.11775951308631,2.95418625142852,3.13266157649091
2,10,3.52330522475431,3.57677832818962,3.79895257294824,4.01364334417536
2,11,3.34131475510167,3.59423096827116,3.49460670145615,3.62751960642109
2,12,3.93620661001696,4.25799538515792,3.89447488128071,4.19694552837929
2,13,3.3121234595965,3.62226087247456,3.48643409798212,3.54333814839287
2,14,2.91456096173213,3.18794525317864,3.13410619140002,3.20432075083635
2,15,3.47746570963782,3.53808954221417,3.68927900956342,3.87927361877771
2,16,2.51752853529289,2.58429985585008,2.61474027423691,2.70645602908622
2,17,4.04546375731664,4.11721215439651,3.87969345586436,4.04550822129827
2,18,3.28628689176682,3.36286977399956,3.09476260639612,3.45862523132784
2,19,3.72336479908927,4.04951165081805,3.77226350856356,4.06821982931484
2,20,3.31681590186205,3.64309101123724,3.42829340327119,3.61770266121428
2,21,3.11497950579278,3.47489049393341,3.34313154810149,3.5528749171896
2,22,3.27447132381628,3.16892157303387,3.58492037871209,3.76826489311867
2,23,3.4663830303729,3.7373680795333,3.54956780898298,3.89373902594738
2,24,3.38275285789833,3.80194766018638,3.61373571103453,3.72866669063796
2,25,3.20435230791394,2.96205725327553,2.93986713501665,3.22246462799998
3,1,4.18989651393136,4.36059208894918,4.29910070654228,4.01377194351705
3,2,3.45016196035096,3.57562300505083,3.59035558778571,3.558691527875
3,3,4.07261737080353,4.6938654550545,4.93061303126186,4.75253188428298
3,4,3.70396551125856,3.58038661194737,3.81752217669803,3.79570365870902
3,5,3.42202481136665,3.61136256296557,3.49948198886433,3.67688620635715
3,6,3.41267249442108,3.639685058138,3.42061386017857,3.5695641322857
3,7,3.94585831357635,4.04190268556606,3.83460114414031,4.30441508594645
3,8,2.82037414019643,3.03667768551811,3.04503817479658,3.39170876667868
3,9,3.64542351769644,3.78372590713569,3.59690169286199,3.82705012055352
3,10,2.82150508615519,2.99775772538912,3.16905591282449,3.55466466933352
3,11,2.96253694039663,2.76686815832762,2.77306525771444,3.20871981905442
3,12,4.0066071909482,3.74663195781626,3.74085033292999,3.90580250675479
3,13,2.6325969246035,2.60771754791673,2.49482855160341,2.51559435618968
3,14,4.46820508836347,4.33084622196503,4.61881398142108,5.02786211365508
3,15,3.44373742568979,3.77052085979671,3.54546791992702,3.81346677519653
3,16,2.91710064028588,2.81243916387719,2.98611844366659,3.01364980210714
3,17,2.66896978438973,2.84091028008477,2.79886782354389,2.92388662833333
3,18,3.32755039256909,3.01493436237919,3.19527252425403,3.50783596416946
3,19,3.21789252242858,3.38097784449152,3.24272423032726,3.46511009705267
3,20,2.90198017431579,3.25162337807014,3.25840236910534,3.31283438992591
3,21,3.83676363850901,4.01637657387933,3.74735205142373,3.87567400206781
3,22,4.89054200215011,4.75723036994736,4.98632216072383,5.21257740691547
3,23,2.92900406993219,3.05351049746433,2.70534204953334,3.01940823640002
3,24,3.0746816459661,3.47672970692305,3.47287037787931,3.63941527075003
3,25,3.52043135662065,3.69400501037931,3.49253144196364,3.7197815417273
