type,id,D1S1,D1S2,D1S3,D2S1,D2S2,D2S3,D3S1,D3S2,D3S3,D4S1,D4S2,D4S3
1,1,0.661018660689726,0.505486893916984,0.22080172110453,0.407964372977029,0.779831773770161,0.478263880795542,0.527284425763256,0.700615632662694,0.460551593684927,0.600757519322359,0.795873986559882,0.935352774427728
1,2,0.54133692616679,0.472897411945704,0.451109001039592,0.449465531481334,0.581087156371243,0.700180136386761,0.379650680338958,0.433258827248623,0.530223504327483,0.420167130926965,0.628407276176421,0.794143183714729
1,3,0.244637221212318,0.407740275425783,0.369576233937294,0.477150457106307,0.646188517440046,0.523557671016871,0.752437554082721,0.812052946924897,0.722642039714286,0.725088273246947,1.0736052450387,0.720377114766917
1,4,0.578149212848319,0.853910951846723,0.367004280257327,1.30640661259972,1.19926189722302,0.753871362778672,0.993934099454012,1.21003709882216,0.637872256710387,1.76417371936337,1.3590969270741,0.475215641555175
1,5,0.432879294118896,0.350570872010513,0.352343811619671,0.597652753335785,0.686024701106101,0.752947389242002,0.570685266744729,0.743392584217423,0.885396508793845,1.55103939275537,1.18135357373466,1.13552477728548
1,6,0.452504505602441,0.283123605971087,0.340621425285049,0.761766320709612,0.347993950789149,0.541457677451728,0.375762260778595,0.33156282186153,0.528592728147706,0.581724246650077,0.595173423244403,0.609403518077609
1,7,0.959571006839314,0.539626885644138,0.460854418959001,0.512720985804666,0.717688916999973,0.544960072045569,0.358022483899816,0.707427053291663,0.725410992567539,1.16677158323348,0.798837449662416,1.03507236848495
1,8,0.487675042857769,0.444407045315741,0.413654129202995,0.310795965663226,0.438068556821698,0.514132795745892,0.630244427480081,0.600484850913804,0.446722194696758,0.683141980869295,0.706197333469581,0.617711117640641
1,9,0.432995579484075,0.661870934118862,0.450907714057029,0.424966549978361,0.922343940453416,0.972500102003974,1.0513368883731,1.03628747425852,0.890379591857007,1.00473314056286,1.26828542019429,0.876001648746375
1,10,0.77335368893017,0.58685084848826,0.457304894027719,0.716389662982468,0.651925245736399,0.697443457986662,0.841789765999835,0.743597355997414,0.409418308262075,1.21662731650558,1.52022091224181,0.998477990186341
1,11,0.468311676890107,0.492798614385896,0.513442115058662,0.78924725988393,0.664358566979867,0.537811004778908,0.618399076287833,0.715390531440528,0.337585276953965,0.699250569381611,1.12834611457686,0.74933703731873
