type,id,D1S1,D1S2,D1S3,D2S1,D2S2,D2S3,D3S1,D3S2,D3S3,D4S1,D4S2,D4S3
1,25,1.62033292680007,1.95487040502696,1.97188227690003,2.61741218720017,2.92115017336853,2.74293783150006,3.57229584560027,3.87106004615778,3.47121968910014,4.49749560300006,4.6554421192051,4.28984953679992
2,1,1.73724922944489,2.23295626261545,2.01629442349986,2.60894051230007,2.67478172335923,2.66460717220016,2.90540672412499,3.65846523797439,3.29675731190018,4.58155332512479,4.40300367600016,4.38301928749988
2,2,2.79627103871514,1.84115428828199,1.77063290719998,4.08198458242883,2.88412294944761,2.47384765889983,4.91074270614263,4.2175927127437,3.28580881540038,6.45911483314194,5.37897226604982,4.21322086460023
2,3,1.9091576271001,1.74303510912824,2.05951058240025,2.85327701769984,2.80209688210249,2.96656019889997,3.66261043319992,3.66510084743587,3.48087224650008,4.65787071200011,5.09659765892301,4.75916393266683
2,4,2.48215682155549,3.37175013648389,3.05924832810033,3.43576466144441,4.77974949266671,4.21592938469967,4.62430186109996,6.05929133958969,5.38844480070002,5.26388233720008,7.45223492512821,6.44051510740046
2,5,2.10022611949998,2.28912517965791,2.36862165820003,2.90972133711115,3.011713817718,3.05939549600013,3.12722949820002,3.87943841327497,3.99253357569996,4.65207262412497,4.8656338903334,5.36041742099981
2,6,1.7051969634443,2.48728305084613,2.00065981055559,2.38959368411148,3.51201440524983,3.21362721280057,3.11671449749992,3.93430624044995,3.66980801620011,3.75997434674969,4.67329512314986,4.60172444900054
2,7,2.05863347350005,1.73577268505146,1.56309624999994,3.10049866940008,2.77961359761554,2.71248137155514,4.05748915055544,3.51273826910265,3.47327598139891,5.06719846666662,4.60250251248703,4.17780378479947
2,8,2.12208055430019,2.13092418477784,2.1844698391993,3.36811042979934,3.36975792742918,3.40114795919981,3.99627270240089,4.05607127728916,2.95949909610063,4.90135157955511,4.80508922382487,4.37028874109928
2,9,1.78961344730001,1.95998701805566,1.87409885177769,2.46446441411109,2.50491460257898,2.48377404879993,3.41607481355562,3.43086163255,3.20266858630011,3.71520595980007,4.43998284394871,3.70637057577783
