type,id,D1R1,D1R2,D1R3,D1R4,D2R1,D2R2,D2R3,D2R4,D3R1,D3R2,D3R3,D3R4,D4R1,D4R2,D4R3,D4R4
1,1,1.82934190099994,2.24239510955552,1.79097759270016,2.18186446927286,2.88466283529988,2.47900828354531,3.08087488980027,3.27975608471427,2.81781020471421,3.32876937644445,3.47313551918176,3.19442328199993,4.13599154484627,4.07749613369988,3.94764639483325,4.33147521881818
1,2,1.63339269225048,1.89582050741653,1.96116223711114,1.83914156500009,2.7447967399092,2.83251901877763,3.02841221883349,2.79579217560004,3.25129291140001,3.39885147554527,3.52319101327256,3.39850323783412,4.45091324077718,4.07335216233393,4.6108486762219,4.45343396353844
1,3,2.12149896633329,2.08625214990885,1.91772470969991,2.03419556174958,3.26232260628499,3.38602197887531,3.55480732887463,3.62994186762512,4.46941695437408,4.5692173065557,5.05316521391645,5.04550254522231,5.8286871998663,5.73320104545531,6.24348662028517,5.82694895166605
1,4,2.23896259418193,1.86544227539998,2.03290166569996,2.25583621925017,2.73571766722231,3.71579212350008,3.67713237807132,3.47390562528575,4.31694528950008,4.06215172666665,4.1593054549,3.26059459733344,4.48036060062509,4.42279789063621,5.3216121916668,4.77671504976916
1,5,1.25885124745467,0.918841276499916,1.04976243170022,1.07607398737491,2.0878385470001,2.56766205137478,2.34362008649969,2.58866452791684,3.66489417900008,3.48278196566662,3.50139997937549,3.41382725049971,5.35802958887507,5.89884203712495,4.77144902109994,5.30570446036373
1,6,1.23818365936313,1.0591350333331,0.99859059299979,1.29095005988792,1.4698188591105,1.59601184850059,1.59208696799988,1.68765190700015,2.25055214836241,2.27259286325034,2.70727470580023,2.11524976599958,2.5963537916241,2.80146413016701,2.70974383318224,2.76112336113365
1,7,2.81853434618188,2.78794725766673,2.70854850729984,2.94805343277787,4.22914102188861,4.44635942588886,4.07552298638466,4.18549184187498,5.12470722245458,5.17285911262513,4.74399066520009,4.73448437237505,5.99143481985707,6.14977886750019,6.18977820739983,5.33288611000017
1,8,2.08900072579963,1.96554785372758,2.05509875800017,2.0250633362848,2.95250788966748,3.02718108924955,3.0950362350916,3.29105176708254,4.03338454984623,3.72610381591615,4.04011952442774,3.65233084657094,5.01167739600032,4.76430832677781,4.79345190136353,4.89103553699996
1,9,2.00753597972686,1.79449370499949,1.69604939000019,1.96857092780047,2.91474725255628,3.31880118366583,3.26951511130811,3.19868907499975,4.30410886675054,4.52285789725011,4.57693718109986,4.06088426388912,4.6311552975003,4.72568835190892,5.31449528939993,5.77353331999958
1,10,1.68644049354539,1.53095002962516,1.52972470640007,2.28241192587495,2.96492148922223,3.18931833825002,2.92494835366673,3.11050530137527,3.92378078841686,3.75395607687494,4.34717341333322,4.11496511237533,5.17385614100044,5.14248158727258,5.5709714911665,5.49513599928546
1,11,2.96090109155577,2.76566439790887,2.96384689610022,3.17002805728589,4.10982198577808,4.08466472812506,3.72500064122263,3.98855795933332,4.55741664361533,4.18179557941676,4.10151540600009,5.15160419499959,4.74238019387485,4.96508942077809,5.15424439927285,4.84302185966681
1,12,2.54262205690029,2.34537688399951,2.59052467842827,2.52182888542926,3.6785282790006,3.4773278576009,3.67333686920028,3.92740025233312,4.23104933727287,5.43396716226707,4.25658698759944,4.26006313642782,5.41775005899971,5.0968898960006,5.85754797754535,5.47019782926776
1,13,1.88388500911121,1.83294846370027,1.94587377669986,1.79240172599995,2.88110283466671,3.24795670349999,3.11229513157156,3.21062586699998,3.93014235049994,4.10533066766665,4.36502746250017,4.39005804399989,5.77863516374998,4.95864393966675,5.84920508300002,5.52444654950003
1,14,2.44313321399968,2.34754775381853,2.50508384960012,2.48153749325002,3.56172865088835,3.46428789049969,3.81503031000029,3.4029114730838,4.24078541476886,4.56874860675028,4.50069514000052,4.67801555385709,5.61980894385644,5.7363510093338,5.80181441490905,5.45303727924996
1,15,2.44925289799978,2.45398485950009,2.29694169000009,2.37463806762514,3.26307551911102,2.82131199977792,3.2397264270835,2.91215085712486,3.99405853033386,4.12865181811119,4.05878303255546,3.98581229522238,4.67912885187525,4.66508677924988,5.09216634883326,4.97480740850025
1,16,2.01832323559956,1.90447874049969,1.97462724711073,2.062769009858,2.79504457333395,3.0490259597144,2.74843959989976,3.19452507663647,3.58569496815373,3.4868723681823,3.88708486514276,3.77051262514319,4.65804970662498,4.93425297422174,4.44568296236337,4.7349184288998
