type,id,D1R1,D1R2,D1R3,D1R4,D2R1,D2R2,D2R3,D2R4,D3R1,D3R2,D3R3,D3R4,D4R1,D4R2,D4R3,D4R4
1,1,1.94845824200011,1.83062896912497,2.07102390533328,2.2128405061002,2.65529705819972,3.34863670033327,3.00936823544473,2.61077459590006,3.33337543900006,3.06001525822214,3.1898181012999,3.38253082812491,4.42964626759995,3.8195630795999,4.12816450880018,4.21012186359994
1,2,1.74149322688855,1.91434499899988,1.98541384544498,1.72166296000028,2.883440914125,2.95386771400008,2.803166733778,2.66434725777759,3.45616672920041,3.58277718500034,3.29347939422203,3.25984394129955,4.4565240512502,4.45110973429983,4.46203600066636,4.3568997993998
1,3,1.94351997539961,2.03999284533307,2.1009917186002,2.07644704322188,3.88827586930056,3.43542555019994,3.33920237044367,3.31521270589983,5.20639388144466,4.64317945311025,4.61382777520048,4.81413591049932,6.43723934460031,5.11689234469886,6.17368397610007,5.764829210667
1,4,2.55446418400005,2.31320951860016,1.89648663029998,1.65715785560001,3.36476672411113,3.62484722188901,3.20203873239993,3.52180758249997,4.21868974510003,3.70689829250018,4.28402844670004,3.72049500959993,3.79671879266678,4.78560560749979,5.02612822288888,5.12589511840001
1,5,1.23806931660001,1.17124749480026,0.893185530889039,1.00101548109978,2.56387276999976,2.49203383010026,2.14254405989959,2.42750132600021,3.16445742277776,3.40455182088893,3.49486324450027,4.01965614359997,5.17693880539973,5.1497449823753,5.54259414319986,5.30432477088915
1,6,1.24165376009951,1.23245240129945,1.16984973159924,0.949735700599922,1.48190793289941,1.68510386033288,1.72321125890048,1.45619209060023,2.14191795099978,2.22002785519981,2.39057106799955,2.40507623589983,2.64855949700031,2.87567511580019,2.44826456269948,2.90786559410044
1,7,2.96192203689998,2.88522337033333,2.71475281709991,2.69796102220016,4.07448622310003,4.12125281110002,4.16438189255536,4.51084102129989,4.92958209025005,4.90217685979997,5.11026745288907,4.8619601583001,5.89755979933347,5.68868651866695,5.79516738133326,5.95810773220001
1,8,2.13399660211063,2.03320505155514,1.98128182630026,1.99198314370005,3.18664936440073,3.00070525720002,3.24252433799957,3.00292499159987,3.79250578289975,3.79303371389942,3.68902839170005,4.24985762788816,4.72434247870005,5.05282002155663,4.5249440163996,5.15333107859951
1,9,1.85953470822197,2.37971531785713,1.57251400988834,1.74902419730024,2.74968986080021,3.28161985733419,3.25188185029983,3.49401778566607,4.34312351650005,3.84847485360006,4.62620312377799,4.65976879500049,5.7683149083334,5.18180567769959,4.57152099590057,5.22062847411022
1,10,1.65925251650024,1.90870739333301,1.69530724033353,1.70292569655552,2.9611887093746,3.21550426444456,2.97955740680027,2.97576406410026,4.09242119960018,3.9501895385555,4.18051921639999,3.86002371100028,5.24956978430037,4.56394639089958,5.86019964188886,5.74389209959982
1,11,2.96723939660023,3.0718810206668,2.71331246299997,2.98732607069996,3.99298181025006,3.77005404310039,4.17352061050005,3.96738159620018,4.33435514479988,4.34562648999963,4.57953622930017,4.50605923300019,4.87539701780006,4.49368631670022,4.45471117729976,5.91998519280041
1,12,2.49693543487547,2.55720725500032,2.58279272662503,2.36002840699939,3.73966359944461,3.73583037387516,3.45956580866752,3.81566689660031,4.47589988199979,4.52251100950052,4.72555527609948,5.15451836033349,5.49242929160027,5.32002382633315,5.22003400230096,5.99867376050061
1,13,1.93898970937482,1.780510772889,1.90130013444458,1.8641783727001,3.04029537111112,3.12833340010002,3.20541529760021,3.04705726009997,4.35520840159998,4.01590378570008,4.09895610800004,4.25697982829988,5.69713393719994,5.40183057880004,5.04617069260003,5.67189386910013
1,14,2.34004096311118,2.4971641300006,2.4868675316,2.42568105899954,3.71620899720001,3.40756741369951,3.67562740069989,3.41789596033414,4.54424964309983,4.34754359289982,4.66653056750074,4.31236256349985,5.57933796329962,5.63469633589993,5.66920524480047,5.70998135177757
1,15,2.5807480343,2.41313418622202,2.35477134499997,2.23086763944472,2.99931621688868,3.16833624439996,3.16161596170004,2.96000484877812,4.0390658997779,4.41002959830057,3.9334725644002,3.77013119519988,4.87455787960016,4.9356825683004,4.35211222910011,5.19908472079969
1,16,2.29989734380015,2.13454702114281,1.78885716129971,1.73440820611076,3.38315109299983,3.29676419833352,2.89837496725067,2.24333662669997,3.98233301020027,3.80812522380002,3.58879404633363,3.15212047899998,5.06308740540007,4.54143676411089,4.84011423922129,4.28595382120002
1,17,2.53784837500016,2.7318922313333,2.26579443049986,2.5476454366999,2.92460581320001,3.73591861689993,3.35959035630003,3.76052091980009,4.11849153920011,3.51384661700004,4.07037279160004,4.28804063489988,5.12234247649985,5.53541966500006,5.37734380339998,5.56053690709996
1,18,2.86821814616656,2.26111765787496,2.0833708483,1.89438694770015,3.02332143962494,3.07660860485706,2.33083362130019,2.48537476850004,3.73216927077776,3.30400429439994,4.045490618222,3.34481686179995,5.33819994266668,4.53208476789987,4.06790364877768,4.41241678969998
1,19,1.72151428444441,1.78716622588905,1.59497202169996,1.63941689460016,2.78645770666662,2.75626559120001,2.7690879278889,2.74300363780012,4.10903544566665,4.02164102440001,4.14712222749977,3.9491633362999,5.1077566987,5.02290484299992,5.27582336449996,5.46183122869998
1,20,1.89605164900004,2.13319342222167,2.17623866200029,2.02866819144421,2.85015975909973,3.08687506389979,3.04433403070034,2.87022873699989,3.18446027549999,3.17773355279987,3.5931337066002,3.67260476730007,4.11666769819985,4.18835168355539,4.14037402759968,4.00517229659981
1,21,2.41453288100047,2.7557100243341,2.2931142478889,2.20297356771438,3.51862396829929,3.79709671866658,3.51589146980023,3.79845639419982,4.62335497711077,4.55738563230007,4.94763779077786,4.84258059433321,6.03209762799997,6.8162276944,5.68525860110003,5.96697285539976
1,22,1.65991180777686,1.69235094222232,1.6627663139996,1.43778482800008,2.47082903420014,2.39386380920041,2.25294197870062,2.27319046799967,3.63033860588985,3.22354238169937,2.94496864130087,3.15898913229939,4.25690262699973,3.97648819749957,4.08182361319959,3.87536004389985
1,23,3.19324764839985,3.04830641859999,3.06293279479996,2.73034560860006,3.57193826470011,3.50712183629976,3.43402456000003,3.41008713909987,3.92300884739998,4.18175714730023,4.24605975190016,3.77492720949977,5.56263054110004,4.82109446759996,4.72603295460012,5.15760701170029
1,24,2.87956601022254,2.74722676700003,2.88515112030018,3.08059264287476,3.59461659144452,3.91118696550002,4.28522384289972,4.05857998766644,4.79024650009978,5.26196178449954,5.36350058455557,4.59915600969998,5.90732400600009,5.84445308419981,5.89047583879965,6.11727222530044
1,25,1.91032186555519,2.17667509899966,2.13875414700033,1.49787696700014,3.04050909625016,3.11114703700041,2.76801688409996,2.78879946069992,4.19825737524934,3.90380074110017,3.57061690089995,3.87700463319998,4.52864283540002,4.73787763080018,4.4554056036664,4.87983875539994
2,1,2.35608321122244,2.23909307139984,2.15003162619996,2.19892983650025,2.5548317595003,2.76360916570011,2.81427439500031,2.58036084040032,3.60194920349986,3.75967236899978,3.81024394411139,3.47717330590021,4.49996348010009,4.2226972125005,4.3203447134998,4.56900929790027
2,2,1.77294805322203,1.7024234020002,1.94689338259959,1.93553169180013,3.06033925422202,2.8653991780011,2.72153012080053,2.9093695336661,4.68017294755555,3.91222812440028,4.45550448440008,3.86872331810009,5.21791617019917,5.5731989115,5.24407271100026,5.48070127149986
2,3,1.73516256649991,1.83793948650009,1.74474180880015,1.64443673755553,2.82851330979984,2.95159329422232,2.77538120269992,2.66784936289987,3.86786646700011,3.84333729111111,3.45574502979971,3.51127824620007,5.35050406969995,5.36039937955573,4.72853640470003,4.97333095379963
2,4,3.57629159555543,3.27703936271441,3.12348962660017,3.37809061990001,4.68645432780004,4.6503379290999,4.89589435100006,4.89815157055576,5.74226574219983,6.04479162249991,6.08225538055558,6.37014901720004,7.50129276329999,7.43210331577767,7.58833114530007,7.28519931520004
2,5,2.43616326660008,2.49093179944445,2.05630889188888,2.16999579389999,3.06253045060007,3.12165618700001,2.72414932833345,3.10976285600002,3.54713943229997,4.11687157119991,3.80313588700001,4.0506067626,4.68521225879999,4.9801540931001,4.75989215280001,5.05634851955574
2,6,2.67214032170014,2.49459109809995,2.4656352971997,2.29781909033348,3.47945679239983,3.45089776289969,3.35011543069995,3.76758763499984,4.10179715589984,3.60500648490033,4.09978248450007,3.93063883649957,5.02982997160016,4.67264113699985,4.47156382989979,4.51914555409967
2,7,1.78857725710022,1.7740936086674,1.70021503430016,1.68403693249966,2.71837086920004,2.69363836944447,2.86594445300052,2.83190317600001,3.60377753290013,3.2740004477002,3.71009998469945,3.45755698244506,4.8077807945996,4.41118390259999,4.33231437333335,4.83171216549981
2,8,2.31257149720004,1.84227532039986,2.2757865211673,2.15100833489996,3.54737840087591,3.56238117480025,2.98569298077847,3.38343145975068,4.38762370429977,3.23025280299908,4.24405062829974,4.19719427870004,4.54353044620002,4.85147269299996,5.06627420329969,4.75907955279981
2,9,1.69554312100001,2.10405160522239,2.299495696889,1.73632619630012,2.6829420071112,2.33619152589995,2.60662603320002,2.40134458255564,3.51867810410004,3.20257650229996,3.32001169080013,3.68218023299987,4.23706293855553,4.20467389349992,4.36598269149999,4.93191986170009
2,10,2.14627643766693,1.91536081270024,2.12709739459988,2.14622492199965,3.5638148031111,3.07687030877767,3.20142233259994,3.56634226710012,4.32530196070002,4.22712134390004,4.38182089050024,4.38414337555534,6.18767665355578,6.02936746366625,5.52191741600036,5.69723009429963
2,11,2.18189161799998,2.62822698769996,2.35570193511118,2.20962895330003,3.30267356489983,3.22218160422221,3.24491561630002,3.13235230779997,4.04259759070001,4.10022727666673,4.17919666289995,3.99053702839999,4.77175094510012,4.54644500319994,4.50286866811113,5.2373230134001
2,12,2.36135128469996,2.51496392200008,2.39912902850002,2.43194965520001,3.72841276644441,3.52266196922223,3.39773555300001,3.51819691029989,4.49141215500003,4.4890073372,4.46219351359998,4.38328566122224,5.55077225877775,5.66465949810009,5.54090807959999,5.63345500780006
2,13,2.17317532666675,2.24857466222223,2.19371458262513,2.08583527140006,2.97782226644439,3.16284625759995,3.0329682326,3.07295165860003,3.85745850800001,3.83085017799991,3.95851532260001,4.05094749410007,4.93276703190002,4.85044451030005,4.73090324399996,4.62777365930001
2,14,1.91874865111105,2.00246805014266,2.00394199579996,1.86445682977769,2.73942312688885,2.89757081133338,2.52561628890003,2.3421809181112,3.39152807375001,3.53489032211125,3.35781710555562,3.61402551519982,5.00716858633329,4.43782781230016,3.7499878455555,3.77172123300003
