id,cond,k,s,k2,s2,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR
15,3,0.1158808,0.02910094,0.1127846,0.2018825,3.938429,-1.486395,0.7109585,1.15694,0.8001713,0.7479852,5.208933,3.245382,0.6230416,-1.630969,2.368519,-1.452215,1.98235,2.072788,1.045622,0.8317538,0.2731092,0.3283534,1.313187,0.377912,0.2877824,-0.1682462,0.2731092,-1.623272,0.2659922,2.072788,7.792665,1.208544,0.7253198,0.8632903,0.7809756
16,2,0.1105454,0.09696765,0.1192971,0.1227197,5.027943,-2.542769,0.8752636,1.147571,0.8745523,0.9091942,6.004734,3.7341,0.6218594,-0.8351694,1.494932,-1.789974,1.133731,1.275426,1.124982,0.9093335,0.2198736,0.2417964,1.149607,0.2328599,0.2025561,-0.09066647,0.2198736,-2.425082,0.1736209,1.275426,7.34604,0.6909183,0.5718778,0.8356463,0.713713
17,4,0.05025744,0.05685326,0.06184817,0.05207019,3.8311,-0.93997,0.768609,1.441421,0.7249714,0.8057833,5.5729,3.036238,0.5448219,-1.267003,2.24459,-1.771574,1.73103,1.897114,1.095945,0.9238521,0.3238153,0.3505056,1.196667,0.3732925,0.3119434,-0.07614793,0.3238153,-4.252451,0.2489855,1.897114,7.619379,0.5793875,0.2929688,0.6842809,0.392208
18,1,0.05675109,0.1555793,0.06847952,0.128661,3.913271,-1.846728,0.6769481,1.007328,0.8306325,0.6853153,4.805833,3.304664,0.687636,-2.034069,2.585638,-1.271165,2.37264,2.267619,0.9557365,0.7290511,0.2612546,0.3583488,1.553426,0.5906044,0.3801948,-0.2709489,0.2612546,-0.9642208,0.3324822,2.267619,6.820271,1.355716,0.8408411,0.7729414,0.7981197
19,1,0.1223025,0.09235798,0.1203295,0.0312724,2.960086,-1.475346,0.4123316,0.4825878,1.025714,0.4899613,3.5568,3.202919,0.9005058,-3.283103,3.220589,-0.9809589,3.434925,3.052389,0.8886335,0.5578263,0.3941171,0.7065231,9.209723,15.33273,1.664842,-0.4421737,0.3941171,-0.8913174,0.507134,3.052389,6.0189,1.312573,0.9178156,0.6150782,0.9588985
20,2,0.02870483,0.06755852,0.02854031,0.04649676,4.821372,-2.830798,0.800542,1.010186,0.8861961,0.7931759,5.365533,3.744066,0.6977995,-1.474369,2.098129,-1.423069,1.847172,1.766682,0.9564248,0.772707,0.2737891,0.3543246,1.448211,0.5098417,0.3520494,-0.227293,0.2737891,-1.204564,0.3053158,1.766682,5.786407,1.048081,0.6273898,0.7916464,0.6810106
21,4,0.07215724,0.0719576,0.07035991,0.05290025,4.247157,-1.716334,0.8623226,1.205215,0.8075429,0.8934968,5.503833,3.177814,0.5773819,-1.336069,1.846612,-1.382123,1.53633,1.677769,1.092063,0.8626504,0.1650154,0.1912888,1.201399,0.2335876,0.1944297,-0.1373496,0.1650154,-1.201426,0.1791702,1.677769,9.36411,0.7133369,0.6441443,0.9242638,0.6887399
22,2,0.06366433,0.06828919,0.06969905,0.1321888,4.725014,-2.784091,0.8440118,0.9738374,0.8926495,0.8366424,5.248433,3.573501,0.68087,-1.591469,1.930893,-1.213277,1.720585,1.812723,1.053551,0.7526485,0.2252708,0.2993041,1.490858,0.6354482,0.4262299,-0.2473515,0.2252708,-0.9107313,0.2725265,1.812723,6.651548,1.095348,0.7967727,1.161178,0.919337
23,3,0.1193146,0.1196358,0.1149312,0.05044251,4.648371,-0.9135647,0.8438854,1.904976,0.6989368,0.8812934,6.988667,3.5158,0.5030715,0.1487639,1.73617,11.67064,1.370538,1.04596,0.7631748,1.169934,0.3534868,0.3021424,0.9239754,0.2499241,0.2704878,0.1699344,0.3534868,2.080137,0.2778659,1.04596,3.764262,0.4800971,0.7885707,0.3707319,0.7742057
24,4,0.1175775,0.04106225,0.1190239,0.07037547,3.012743,-1.014463,0.7503101,1.168024,0.6836528,0.7030299,4.1072,2.416611,0.588384,-2.732703,2.889586,-1.05741,2.819067,2.802446,0.9941043,0.641398,0.2324371,0.3623915,1.788757,0.7292378,0.4076784,-0.358602,0.2324371,-0.6481758,0.377959,2.802446,7.414684,0.6779408,0.7339387,0.547204,0.68713
25,3,0.1235752,0.03433125,0.1108613,0.06887223,3.037271,-1.657528,0.747574,0.5336127,0.9781408,0.8258865,3.505833,2.44074,0.6961939,-3.334069,2.50752,-0.75209,3.334069,2.50752,0.75209,0.5293841,0.1511316,0.2854857,2.02847,0.5298598,0.2612116,-0.4706159,0.1511316,-0.3211358,0.4706159,2.50752,5.328167,0.6614772,0.5217825,1.011407,0.6253315
26,4,0.1160784,0.03846686,0.1170512,0.1608541,5.518186,-3.551949,0.8482789,0.7373742,1.066041,0.9356581,5.828967,4.162862,0.7141681,-1.010936,1.169857,-1.157202,1.093897,1.08992,0.9963642,0.8383196,0.2007713,0.2394926,2.617248,7.852471,3.000278,-0.1616804,0.2007713,-1.241779,0.1753702,1.08992,6.214965,0.4184976,0.3823535,0.3442296,0.3198632
27,2,0.04001708,0.04971858,0.03619268,0.03995296,4.557443,-2.732886,0.7902209,0.7758594,0.9744797,0.8369641,5.014767,3.562148,0.7103319,-1.825136,1.90839,-1.045615,1.92338,1.805819,0.9388776,0.7293265,0.2078893,0.2850428,1.491332,0.4555195,0.3054448,-0.2706735,0.2078893,-0.7680446,0.2908777,1.805819,6.208173,1.029127,0.9276366,0.7288814,0.910078
28,1,0.046474,0.05139162,0.05265042,0.05760115,4.367357,-2.437741,0.7591921,0.9301274,0.8886366,0.7707906,4.986767,3.482634,0.6983752,-1.853136,2.230505,-1.203638,1.961253,2.132728,1.087431,0.7329738,0.1903526,0.2596991,1.462694,0.4073741,0.2785094,-0.2670262,0.1903526,-0.7128612,0.2823047,2.132728,7.554703,1.42066,0.7001458,1.859689,0.9585153
29,2,0.0231395,0.05678209,0.02011543,0.05502063,5.359286,-3.993119,0.832984,0.535807,1.157516,0.9147947,5.117667,4.079938,0.7972263,-1.722236,1.332793,-0.7738738,1.732187,1.319385,0.7616873,0.6941786,0.1722336,0.2481113,1.537586,0.4224147,0.2747259,-0.3058214,0.1722336,-0.5631835,0.3064901,1.319385,4.304821,0.8120013,0.7629513,0.9678241,0.8424745
30,4,0.05115012,0.03658571,0.05777113,0.05339181,3.360943,-1.95147,0.8645058,0.6943761,0.8946853,0.8670608,3.762133,2.511552,0.6675872,-3.07777,2.371592,-0.7705554,3.07777,2.371592,0.7705554,0.5452639,0.148113,0.2716354,1.97184,0.5457023,0.2767478,-0.4547361,0.148113,-0.3257119,0.4547361,2.371592,5.215315,0.5089018,0.7909552,0.5260296,0.674409
