id,trial,llTop,delay,ssA,llA,llRight,response,rt
1,57,0,6,20.9,33.8,0,-1,-1
1,58,0,4,22.7,31.7,1,0,1031
1,59,1,4,21.4,30.7,0,0,759
1,60,0,6,28.9,59,1,1,940
1,61,1,12,21.4,62.7,0,-1,-1
1,62,1,6,28.8,56.8,1,-1,-1
1,63,1,4,27.4,39.9,1,1,832
1,64,1,2,25.8,33.9,0,-1,-1
1,65,0,9,25.8,61.5,0,-1,-1
1,66,0,9,29.4,98.3,1,-1,-1
1,67,0,4,23.4,31.7,1,-1,-1
1,68,0,6,27.4,42.8,1,0,796
1,69,0,4,21.4,41.9,1,1,868
1,70,1,1,29.5,34,1,-1,-1
1,71,1,6,29.2,66.4,0,-1,-1
1,72,0,9,29.6,69.3,0,1,904
1,73,0,2,27.8,35.8,1,0,1556
1,74,0,6,29.8,56.3,1,-1,-1
1,75,0,9,26.8,62.4,0,1,1248
1,76,1,1,24.6,28.1,0,0,1266
1,77,0,2,22,32,0,-1,-1
1,78,0,2,21.5,31.3,1,0,1753
1,79,0,9,22.5,54.4,1,-1,-1
1,80,0,9,23.3,56.3,1,1,1013
2,1,1,4,24,53.9,1,-1,-1
2,2,0,4,23.3,90.7,0,-1,-1
2,3,0,2,25.7,32.4,0,-1,-1
2,4,0,2,20.9,34.5,1,-1,-1
2,5,0,12,27.2,123.2,0,-1,-1
2,6,0,9,28.9,106.4,0,1,795
2,7,1,12,22.2,47.8,0,-1,-1
2,8,1,6,22.1,36.1,1,0,887
2,9,0,2,23,34.3,1,-1,-1
2,10,1,4,22.7,62.7,1,-1,-1
2,11,1,6,28.6,68.9,1,-1,-1
2,12,0,6,23.9,42.4,0,-1,-1
2,13,1,4,23.9,66,1,-1,-1
2,14,1,2,23.7,45.5,1,1,868
2,15,1,1,29.6,36.5,1,0,1230
2,16,0,6,20.7,79.8,1,1,831
2,17,0,2,22.4,34.3,0,-1,-1
2,18,1,2,20.2,27.3,1,-1,-1
2,19,1,6,28.8,73.7,1,-1,-1
2,20,0,4,25.5,63.7,1,1,1122
2,21,1,12,21.6,86.5,0,-1,-1
2,22,1,1,24.3,28.4,0,-1,-1
2,23,1,4,25.1,50.6,1,0,633
2,24,0,4,24.3,58.5,0,-1,-1
2,25,0,6,20,63,1,0,778
2,26,0,9,29.7,67.4,0,-1,-1
2,27,0,12,29.8,138.6,0,-1,-1
2,28,0,4,24.5,90.2,0,-1,-1
2,29,0,1,25.9,34.2,1,-1,-1
2,30,1,9,20.3,76.1,0,-1,-1
2,31,0,4,26.3,59,1,1,832
2,32,1,9,28.5,100.7,1,-1,-1
2,33,1,4,28.5,61.1,0,0,470
2,34,0,2,29.6,48.1,0,-1,-1
2,35,0,4,22.5,35.6,0,0,995
2,36,0,6,29,59,0,-1,-1
2,37,1,12,28.7,134.7,0,-1,-1
2,38,0,12,26.3,74,0,-1,-1
2,39,1,9,23,87,0,-1,-1
2,40,0,12,24.5,115,0,-1,-1
2,41,1,2,26.9,35.6,0,-1,-1
2,42,1,9,29.4,111.2,1,1,868
2,43,0,9,29.8,108.7,1,-1,-1
2,44,1,2,22.4,35.9,1,1,1591
2,45,0,1,26.3,29.2,1,-1,-1
2,46,1,4,23.2,39.2,0,-1,-1
2,47,1,4,23.4,39.5,0,-1,-1
2,48,0,1,24.9,32.1,1,-1,-1
2,49,0,2,27.8,54.2,0,-1,-1
2,50,0,6,20.4,41.2,0,-1,-1
2,51,0,12,24.2,227.5,1,-1,-1
2,52,1,2,21.9,34.4,0,-1,-1
2,53,1,1,23.6,26.2,0,0,778
2,54,0,9,29,154.7,1,1,1591
2,55,0,4,29.7,74.6,1,-1,-1
2,56,0,6,24.4,65.6,0,-1,-1
2,57,0,12,28,177.6,0,-1,-1
2,58,1,4,27.7,59,1,-1,-1
2,59,0,1,21.8,28,1,0,850
2,60,0,2,20.2,32,0,-1,-1
2,61,0,1,26.3,31,0,-1,-1
2,62,0,6,23.7,64.9,1,-1,-1
2,63,1,6,20.2,55.3,0,-1,-1
2,64,1,9,26.9,132.7,0,1,832
2,65,1,9,25.8,116.5,1,-1,-1
2,66,0,2,22.2,35,1,-1,-1
2,67,1,6,28,90.5,0,-1,-1
2,68,0,2,21.2,33.4,0,0,1157
2,69,1,6,24.8,83.7,1,-1,-1
2,70,0,6,24.1,67.1,1,-1,-1
2,71,1,2,23.4,34,0,0,1410
2,72,0,1,24.3,29.7,0,-1,-1
2,73,0,9,30,111.1,1,1,633
2,74,1,1,29,37.5,1,-1,-1
2,75,0,6,22.6,55.2,0,-1,-1
2,76,0,9,29.5,107,0,-1,-1
2,77,0,6,23.3,56.9,0,-1,-1
2,78,0,12,20.3,91.3,0,1,1175
2,79,1,6,24.4,74.9,1,1,904
2,80,0,2,20.9,32.8,1,-1,-1
2,1,1,6,21.9,61.9,0,-1,-1
2,2,1,6,20.3,37.5,0,-1,-1
2,3,1,2,24.1,57.7,0,-1,-1
2,4,0,12,23.9,732.8,0,-1,-1
2,5,1,2,24.8,59.3,0,-1,-1
2,6,1,6,26.4,48.7,0,-1,-1
2,7,1,6,22.1,133.5,1,-1,-1
2,8,1,12,28.9,130.9,0,-1,-1
2,9,0,12,24.2,59.2,0,1,759
2,10,0,6,23.6,-657.5,0,-1,-1
2,11,0,9,22.1,29.3,1,0,615
2,12,0,2,27.2,41.6,0,0,669
2,13,0,2,20.2,19.6,1,-1,-1
2,14,0,12,28.4,-131.8,0,-1,-1
2,15,1,6,25.6,73.9,1,-1,-1
2,16,1,12,27.5,42.6,1,-1,-1
2,17,0,4,23.8,54.5,1,0,1881
2,18,1,4,26.3,-2034,1,-1,-1
2,19,0,1,27.8,38.8,1,1,850
2,20,0,4,26.1,-1556.2,1,-1,-1
2,21,0,4,24.1,-1436.9,1,-1,-1
2,22,0,9,20.6,29.1,1,-1,-1
2,23,0,1,27.9,37.7,0,0,832
2,24,1,4,23.9,57.6,0,-1,-1
2,25,0,2,23.6,23.2,1,-1,-1
