A	DA	B	DB	R	ID
26.1	0	48.6	12	0	23
25.4	0	34.1	4	0	23
21.6	0	34.4	2	0	23
21.1	0	46.7	1	1	23
21.9	0	81.9	6	1	23
27.2	0	52.1	12	0	23
22.4	0	26.4	2	0	23
27.7	0	27.6	4	0	23
26.6	0	49.6	9	0	23
27.9	0	52.8	4	0	23
23.1	0	48.1	12	0	23
27.4	0	30.2	1	0	23
25.4	0	34.3	12	0	23
22.8	0	27.7	2	0	23
25.2	0	57.3	12	0	23
29.4	0	58.6	9	0	23
22.1	0	27.8	6	0	23
23.1	0	24.4	1	0	23
24.3	0	30.4	4	0	23
20.1	0	21.6	1	0	23
27.2	0	43.6	4	0	23
26.3	0	28	1	0	23
25.7	0	45.7	12	0	23
25.9	0	26.2	6	0	23
20.9	0	47.7	6	1	23
22.2	0	29.8	9	0	23
21	0	20.2	1	0	23
24.9	0	30.6	4	0	23
20.7	0	38.6	9	0	23
27.8	0	36.2	1	1	24
25.8	0	29.9	9	0	24
24.6	0	28.8	1	0	24
23.9	0	25.1	1	0	24
23.9	0	65.9	9	1	24
24.7	0	36.5	1	1	24
21.4	0	26	4	0	24
29.1	0	36.3	4	0	24
24.4	0	30.7	9	0	24
20.2	0	29.4	6	0	24
21.8	0	33.1	6	0	24
23.3	0	43.3	9	0	24
21.8	0	24.1	1	0	24
22.4	0	51.2	12	0	24
24.7	0	25.8	1	0	24
25.5	0	40.8	12	0	24
28.7	0	49.9	12	0	24
23.8	0	28.6	6	0	24
22.8	0	33.3	6	0	24
22.2	0	39.6	9	0	24
26.3	0	40.3	4	0	24
22.3	0	28.6	9	0	24
22	0	59.3	9	0	24
26.1	0	45.3	9	0	24
25.7	0	28.1	1	0	24
24	0	37.6	6	0	24
25.9	0	33.7	9	0	24
29.9	0	33.1	1	0	24
28.7	0	29.2	2	0	24
23.5	0	32.6	6	0	24
28.8	0	43.4	4	0	25
23.1	0	27.6	4	0	25
28.3	0	31.5	2	0	25
25.3	0	83.8	6	1	25
24.4	0	37.4	9	0	25
20.6	0	37.4	12	0	25
27.6	0	47.7	9	0	25
21.9	0	30.2	1	1	25
22.3	0	29.1	6	0	25
26	0	50.2	9	0	25
28.9	0	42.1	4	0	25
23.4	0	32	2	0	25
23.6	0	36	12	0	25
25.5	0	37	9	0	25
25.3	0	23.6	12	0	25
24.3	0	44.9	1	1	25
22.9	0	20	4	0	25
27.9	0	43.6	9	0	25
28.9	0	33.1	2	0	25
26.7	0	32.1	9	0	25
28.7	0	59.2	6	1	25
20.1	0	26.8	4	0	25
24	0	43.3	9	0	25
26.5	0	32.1	4	0	25
20.1	0	25.4	4	0	25
23.3	0	43.4	9	0	26
29.2	0	43.6	9	0	26
25.7	0	20.8	2	0	26
25.6	0	21.1	1	0	26
21.5	0	46.4	6	1	26
23.3	0	25	4	0	26
29	0	57.9	12	0	26
21.5	0	25.8	2	0	26
20.1	0	38.8	9	0	26
27.5	0	37.7	2	0	26
22.6	0	26.8	4	0	26
24	0	72.8	4	1	26
20.4	0	32.2	12	0	26
20	0	41.1	2	0	26
22.3	0	681.8	9	1	26
23.8	0	16.5	4	0	26
23.8	0	28.8	4	0	26
28.7	0	30.4	1	0	26
26.1	0	19.4	4	0	26
22.9	0	34.8	9	0	26
29.6	0	46.5	9	0	26
29.6	0	96.1	6	1	26
27.7	0	138.9	12	1	26
25.7	0	33.4	4	0	26
20.4	0	63.3	9	0	26
25.1	0	79	4	0	26
27.5	0	43.5	9	0	26
21.3	0	38.6	12	0	26
23.2	0	18.4	6	0	26
25.1	0	29.2	2	0	26
28.9	0	33.7	2	0	26
20	0	26.8	4	0	26
28.6	0	136	6	1	26
29.7	0	22.5	1	0	26
25	0	86.9	6	1	26
20.7	0	26.2	12	0	26
25.6	0	40.3	1	1	26
24.6	0	29.7	2	0	26
23.9	0	53.4	12	0	26
25.4	0	58	12	0	26
29.7	0	34.9	4	1	27
21.7	0	21.5	6	0	27
23.6	0	26.8	4	0	27
26.9	0	51.9	12	1	27
26.1	0	38	12	0	27
28.8	0	27.9	2	0	27
20.8	0	22.6	2	1	27
20.4	0	27.9	6	1	27
22.7	0	20.5	2	0	27
24.8	0	34.8	4	1	27
20.4	0	21.3	4	0	27
24.5	0	28.8	2	1	27
29.1	0	39.4	9	1	27
24	0	24.7	1	0	27
24.4	0	29.2	6	0	27
28.7	0	35.3	4	1	27
23.1	0	25.2	2	0	28
29.9	0	36.4	4	1	28
27.9	0	29.1	9	0	28
22	0	33.3	12	0	28
24.9	0	31.3	1	1	28
27.5	0	42	6	1	28
23.6	0	25.9	2	0	28
26.4	0	42.6	12	1	28
26.3	0	41.3	12	1	28
25.7	0	35.4	9	0	28
28.8	0	30.6	4	0	28
22.2	0	27.9	6	0	28
20.3	0	22.6	2	0	28
21.5	0	24.3	2	1	28
21.8	0	29.9	1	1	28
27.3	0	53.5	9	1	28
29.4	0	38.9	6	1	28
25.4	0	23.3	2	0	28
28.3	0	36	6	0	28
20	0	24	4	0	28
20.8	0	29.1	12	0	28
27.7	0	33.9	4	1	28
26.4	0	39.6	12	1	29
26.3	0	29.7	4	0	29
28.4	0	41.1	12	1	29
29.4	0	25.2	1	0	29
24.8	0	32.2	9	1	29
26.1	0	37.7	6	1	29
20.5	0	21.1	1	0	29
26.1	0	33.1	9	1	29
22.5	0	26.6	1	0	29
29.2	0	56.5	6	1	29
28.1	0	40.4	1	1	29
23.1	0	23.8	1	0	29
29.3	0	28.4	9	0	29
26.5	0	27.3	1	0	29
22.9	0	29.7	1	1	29
28.7	0	30.3	2	0	29
24.8	0	33.2	12	1	29
29.2	0	36	9	1	29
29.1	0	40.8	6	1	29
28.7	0	36.6	12	1	29
21.2	0	23	4	0	29
29.4	0	33.3	6	1	29
29.3	0	31.5	12	0	29
28.1	0	30.5	4	0	29
24	0	28.6	2	1	29
28.6	0	29.8	2	0	29
23.1	0	29.6	6	1	29
23	0	28.9	6	1	29
21.7	0	22.2	1	0	29
24.4	0	26.6	9	0	29
26.7	0	27.9	2	0	29
26.8	0	28	2	0	29
24.4	0	23.2	1	0	29
27.5	0	32.2	12	1	29
23.9	0	27.4	4	1	29
26.1	0	53.8	4	1	29
20.1	0	17.9	9	0	29
27.7	0	34.7	9	1	29
29.7	0	30.4	1	0	29
29	0	38.2	12	1	29
21.2	0	23.2	4	0	29
23.3	0	24.6	2	0	29
29.4	0	36.8	9	1	29
21.7	0	18.4	4	0	29
26.6	0	30.5	6	0	29
23.8	0	31.4	12	1	29
29.7	0	30.5	1	0	29
21.6	0	31.8	4	1	29
23.7	0	24.8	2	0	29
26.3	0	24.1	4	0	29
26.1	0	28.2	12	0	29
20.5	0	24.6	2	1	29
23.3	0	25.5	4	0	29
29.6	0	34	12	1	29
25	0	26.2	12	0	29
29.6	0	40.2	6	1	29
27.4	0	31.9	1	1	29
24.7	0	28.1	1	0	29
29.2	0	43.7	9	1	29
27.1	0	36.3	6	1	29
26.9	0	32	2	1	29
26.5	0	30.3	1	1	29
20.9	0	20.5	4	0	29
25	0	27	4	0	29
28.7	0	27.4	2	0	29
22.4	0	21.5	2	0	29
20.3	0	25	6	1	29
29.5	0	28.6	2	0	29
20.9	0	22.9	9	0	29
20.3	0	20.7	1	0	29
23.1	0	29.5	9	1	29
24.1	0	28.3	4	0	30
24.8	0	32.9	6	1	30
24	0	55.2	12	1	30
27.2	0	40	4	1	30
29.4	0	32	2	0	30
24.3	0	33.2	4	1	30
22.8	0	32.2	9	0	30
20.6	0	26.8	6	0	30
20.6	0	37.3	12	1	30
24.4	0	25.5	1	0	30
28.3	0	50.2	6	1	30
23.3	0	37.3	12	0	30
29.4	0	40.7	6	1	30
24.2	0	50.8	12	1	30
26.3	0	51.1	12	1	30
29.9	0	39.6	9	0	30
26.9	0	31.4	12	0	31
24.3	0	37.4	6	1	31
26	0	38.5	12	1	31
22.4	0	26.9	12	0	31
28.4	0	33.8	6	0	31
23	0	33.3	12	0	31
23.8	0	22.4	1	0	31
25.2	0	29.9	2	1	31
21.5	0	29.8	12	0	31
28.3	0	29.6	1	0	31
21.7	0	22.9	1	0	31
20.7	0	23.2	2	0	31
29.3	0	37.7	9	1	31
21.3	0	29.5	9	1	31
28.1	0	65.8	4	1	31
28.8	0	23	4	0	31
20.2	0	21.7	2	0	31
22.1	0	37.3	2	1	31
29.2	0	70.9	12	1	31
24.7	0	28.2	4	0	31
25.8	0	37.5	12	1	31
27.6	0	47	6	1	31
26.2	0	24	4	0	31
24.9	0	27.6	12	0	31
20.9	0	34	9	1	31
29.6	0	30.6	1	0	31
21.5	0	22.9	2	0	31
24.5	0	22.2	1	0	31
23.7	0	22.5	2	0	31
24.4	0	34.3	12	0	31
25.6	0	33.6	4	0	31
22.3	0	31.8	4	1	31
27.4	0	38	4	1	31
21	0	24.4	4	0	31
22.9	0	27	9	0	31
29.7	0	41.4	9	1	31
23.3	0	27.4	1	1	31
25.9	0	26.9	4	0	31
26.2	0	35.8	9	1	31
26.9	0	25.5	1	0	31
24.3	0	40.3	12	1	31
25.3	0	26.6	4	0	31
29.7	0	31	1	0	32
28.3	0	25.7	2	0	32
28.6	0	46.4	6	1	32
29.4	0	32.5	2	0	32
23.8	0	49	12	1	32
25.2	0	26.7	1	0	32
24.7	0	27.8	2	1	32
29.9	0	43.9	9	1	32
25.3	0	28.4	9	0	32
22.9	0	28.7	6	1	32
22	0	39	12	1	32
20.8	0	25.3	12	1	32
30	0	33.4	4	0	32
23.1	0	22.2	6	0	32
20.6	0	23.1	4	1	32
29.5	0	39.3	12	1	32
20.1	0	26.1	12	1	32
20.3	0	27.6	6	1	32
23.3	0	27.9	9	0	32
21.8	0	27.9	12	1	32
28	0	33.4	2	1	32
24.6	0	25.7	2	0	32
22.2	0	28	12	1	32
22.5	0	26.6	9	1	32
26.2	0	24.7	2	0	32
28.5	0	29	6	0	32
29.2	0	34.3	9	1	32
20.8	0	31.2	12	1	32
28.2	0	29.1	1	0	32
26	0	34	1	1	32
23.5	0	24.1	6	0	32
23	0	27.9	6	1	32
26.6	0	38.9	9	1	32
26.5	0	28.8	6	0	32
24.3	0	28.9	4	0	32
28.6	0	26	2	0	32
26.3	0	27.2	1	0	32
27.9	0	36.6	9	1	32
23	0	38.4	12	1	32
23.2	0	23.3	4	0	32
24.6	0	28.6	2	1	32
21.9	0	30.3	9	1	32
29	0	32.6	2	1	32
24.8	0	26.2	2	0	32
21.8	0	26.2	9	1	32
28.5	0	32.8	6	1	32
28.5	0	32.5	6	0	32
29.3	0	28.7	2	0	32
22.7	0	29.5	12	1	32
29.5	0	30.2	1	0	32
22.9	0	23.4	1	0	32
22.1	0	28.9	9	1	32
24.4	0	33.7	9	0	33
24.8	0	26.2	1	0	33
28.4	0	61.6	9	1	33
27.5	0	47.7	12	0	33
20.4	0	21.9	1	0	33
26.5	0	35.1	4	0	33
24.6	0	44.2	12	0	33
27.3	0	32.6	2	1	33
29.2	0	40.3	9	1	33
20.7	0	18.5	2	0	33
29.5	0	45.6	9	1	33
23.5	0	31.8	12	0	33
27.7	0	33.7	6	0	33
28.4	0	33	4	0	33
20.5	0	22.3	2	0	33
25.3	0	27	6	0	33
27.1	0	41.9	12	1	33
25.6	0	24	1	0	33
24.6	0	37.8	9	1	33
23.7	0	49.5	12	0	34
26.4	0	19.7	1	0	34
27.9	0	38	6	0	34
24.4	0	35	6	0	34
23.9	0	35.9	6	0	34
21.3	0	27.5	1	0	34
26.7	0	37.5	6	0	34
22.6	0	32.8	6	0	34
28.5	0	29.2	6	0	34
22	0	30	4	0	34
21.8	0	30.6	9	0	34
22.6	0	31.9	4	0	34
28.1	0	51.7	12	0	34
20.4	0	30.6	12	0	34
21	0	26.3	12	0	34
20.9	0	34.9	6	0	34
22.4	0	31.4	6	0	34
21.6	0	24.8	9	0	34
27.7	0	61.3	6	0	34
24.9	0	64.6	2	0	34
20.8	0	31.6	9	0	34
25.7	0	1008.2	6	1	34
22.9	0	168.2	4	1	34
22.6	0	70.2	1	1	34
23.2	0	36.7	9	0	34
29.6	0	48.2	9	0	34
20.3	0	29.7	6	0	34
24.5	0	20.9	4	0	34
20.3	0	16.8	2	0	34
27	0	37.1	4	0	34
22.1	0	30.8	12	0	34
25.5	0	61.3	6	0	34
29.4	0	35	2	0	34
26	0	239.8	12	1	34
26.9	0	29.6	1	0	34
28.3	0	68.3	4	0	34
25.6	0	1310.3	12	1	34
27.5	0	126.8	6	0	34
26.9	0	31.6	2	0	34
29.5	0	24.4	6	0	34
27.2	0	49.3	9	0	34
21	0	29	4	0	34
21.4	0	84.9	4	0	34
27.7	0	57.1	12	0	34
20.3	0	-532.4	9	0	34
27.6	0	-180.2	9	0	34
29	0	19.5	6	0	34
23.9	0	422.1	2	1	34
20.6	0	134	1	1	34
27.5	0	243.4	2	1	34
28	0	23.6	12	0	34
28.9	0	25.3	12	0	34
25.2	0	277.6	4	1	34
29	0	54.1	9	0	34
26.1	0	20	4	0	34
22.8	0	18	4	0	34
25.6	0	57	12	0	34
29.7	0	32.9	1	0	34
26.1	0	84.7	2	1	34
27.4	0	44.9	6	0	34
20.4	0	24.8	2	0	34
25.6	0	18.5	1	0	34
23.9	0	33	9	1	35
27.6	0	38.1	12	1	35
21.6	0	23.6	12	1	35
27.9	0	22.5	9	0	35
28.6	0	30.4	2	1	35
29.7	0	33.2	4	1	35
21.8	0	24.2	4	1	35
25.8	0	22.1	4	0	35
25.4	0	24.8	9	0	35
30	0	30.7	1	1	35
21.9	0	29.3	6	1	35
22.9	0	28.8	6	1	35
21.2	0	26.1	12	1	35
25	0	30.1	12	1	35
21.8	0	30.1	9	1	35
25.5	0	27.2	2	1	35
23.7	0	31.8	12	1	35
29	0	31.9	4	1	35
22.7	0	25.9	1	1	35
28.6	0	29.8	2	1	35
26.4	0	30.4	4	1	35
24.4	0	31.2	12	1	35
22.3	0	41.6	9	1	36
21.7	0	22.6	1	0	36
29.7	0	28.1	2	0	36
21	0	22.1	1	0	36
20.3	0	25.5	2	1	36
29.6	0	56.3	12	1	36
23.2	0	25.6	2	0	36
21	0	30.2	6	0	36
27.4	0	37.6	6	0	36
22.5	0	22	1	0	36
24.7	0	31.7	4	0	36
23.1	0	43.1	9	1	36
23.2	0	34.1	12	0	36
24	0	26.5	2	0	36
23.7	0	32.7	12	0	36
22.7	0	26.7	1	1	36
26.1	0	27.8	1	0	36
27.9	0	33	4	0	36
27	0	41.6	9	1	36
26.1	0	27.6	1	0	36
25.3	0	31.3	4	0	36
22.3	0	39.4	12	0	36
25	0	29.2	4	0	36
22	0	33	12	0	37
21	0	37.9	6	1	37
26.5	0	32.5	4	1	37
27.4	0	32.5	4	1	37
25.9	0	25.3	4	0	37
27.6	0	45.9	9	1	37
29.8	0	37.2	6	1	37
22.8	0	24.5	2	0	37
24.3	0	22.4	1	0	37
27.2	0	32.6	9	0	37
20.2	0	21	1	0	37
21.6	0	29.3	12	0	37
20.3	0	23.7	12	0	37
21.8	0	27.3	12	1	37
22.2	0	28.5	9	0	37
22.5	0	26.4	4	0	37
24	0	22.1	9	0	37
29.8	0	32.8	2	1	37
23.5	0	32.6	9	1	37
25	0	36.4	12	1	37
27.4	0	50.2	4	1	37
21.2	0	48.1	12	1	37
27.1	0	28.9	2	0	37
28.1	0	31.9	4	0	37
22.8	0	35.9	4	1	37
25	0	44.2	9	1	37
24.5	0	26.2	2	0	37
21.4	0	19.5	2	0	37
28.3	0	45.2	9	1	37
28.4	0	34.1	6	1	37
20.4	0	21.7	2	1	37
25.3	0	34.3	12	1	37
26.2	0	29.1	4	0	37
29.6	0	30.5	1	0	37
27.5	0	44.7	12	1	37
29.2	0	36.5	9	0	37
29.2	0	32.7	4	0	37
25.6	0	27.2	2	0	37
27	0	37.2	12	1	37
29.1	0	36.8	9	1	37
20.3	0	21.4	2	0	37
26.2	0	26.9	1	0	37
27.7	0	35.3	4	1	37
21.2	0	22.2	6	0	37
29.8	0	34.9	6	1	37
20.4	0	27.1	12	1	37
26.2	0	30.3	6	1	37
24.2	0	22.7	1	0	37
25.2	0	52.6	12	0	38
27.4	0	25.8	9	0	38
27.8	0	47.3	12	1	38
24.8	0	34.8	9	0	38
20.6	0	30.1	9	0	38
26.2	0	96.9	9	1	38
28.8	0	48.3	12	0	38
22.8	0	25.8	2	0	38
25.9	0	36.8	6	0	38
25.2	0	37	6	1	38
25.3	0	28.7	2	0	38
29.4	0	53.1	12	1	38
23.3	0	20.2	4	0	38
24.5	0	27.7	2	0	38
25.4	0	27.6	9	0	38
22.1	0	31.8	1	1	38
26	0	47.5	12	1	38
27.2	0	29	1	0	38
24.4	0	43.2	12	0	38
23.4	0	46.6	6	1	38
22.7	0	23.8	4	0	38
21.1	0	30.8	12	0	38
23.2	0	35.4	12	0	38
25.2	0	26.3	1	0	38
23.6	0	28.5	4	0	38
27.6	0	68.6	12	1	38
26.6	0	45.9	12	0	38
21	0	30.1	6	1	38
30	0	39	2	0	38
25.4	0	26.8	1	0	38
24.1	0	35.8	9	1	38
20.7	0	88.9	9	1	38
22.7	0	24.9	2	0	38
22.8	0	18.3	4	0	38
25.5	0	22.7	6	0	38
26.7	0	23.6	4	0	38
21.7	0	24.1	2	0	38
22.6	0	37.7	12	0	38
21.3	0	33.3	9	0	38
27.2	0	36.6	12	0	38
28.2	0	26	1	0	38
29.6	0	29.8	2	0	38
21.4	0	24.6	2	0	38
24.3	0	61.3	12	1	38
25.9	0	41.3	12	0	38
27.4	0	46.9	9	1	38
24.8	0	23.9	4	0	39
23.2	0	32.1	9	1	39
20.2	0	24.1	6	0	39
25.2	0	36.8	12	1	39
22.8	0	23.6	1	0	39
22.1	0	39.9	12	1	39
25.2	0	41.8	12	1	39
20.3	0	23	4	0	39
23.1	0	25.2	2	0	39
25.3	0	30.8	4	1	39
26.8	0	31.4	4	1	39
27.9	0	24.7	4	1	39
23	0	87.8	6	1	39
27.8	0	21.1	6	0	39
23.7	0	25.5	2	0	39
21.6	0	18.9	12	0	39
24.2	0	51.9	4	1	39
23.3	0	58	9	1	39
26.8	0	67.1	12	1	39
28.7	0	37.6	9	0	39
21.2	0	19	4	0	39
21.9	0	41.7	9	1	39
27.9	0	40.8	4	1	39
24.5	0	30.1	6	1	39
26.4	0	29.6	12	0	39
21.4	0	23.4	9	0	39
25.2	0	36	12	1	39
27.3	0	28.2	1	1	39
28	0	25.2	1	0	39
23.6	0	32.5	12	1	39
25.3	0	26.8	2	1	39
25.3	0	28.1	4	1	39
25.4	0	24.6	4	1	39
20.2	0	23.3	6	1	39
21.5	0	19	2	0	39
26.4	0	30.2	6	1	39
26.6	0	32.1	9	1	39
20.8	0	23.5	6	1	39
26.3	0	23.7	2	0	39
27.1	0	32.9	2	1	39
29	0	36.3	4	1	39
20.9	0	24.6	9	1	39
24.1	0	32.4	9	1	39
29.9	0	37.4	6	1	39
21.7	0	21.7	6	0	39
26.9	0	29.3	2	0	40
20.3	0	24.7	4	0	40
25.9	0	56	9	1	40
20.4	0	34.6	6	0	40
22.3	0	39	12	0	40
29.3	0	24.7	1	0	40
27	0	31.6	2	0	40
24.7	0	43.4	4	1	40
24.9	0	71.2	12	1	40
26.3	0	26.5	1	0	40
28.2	0	33.4	1	1	40
22.3	0	36.9	6	1	40
27.7	0	49.5	12	1	40
25.6	0	40.1	9	1	40
24.7	0	43.4	4	1	40
22.4	0	24.9	2	0	40
20.3	0	25	4	0	40
21.9	0	24.7	2	0	40
20	0	43	9	1	40
22.5	0	28.9	9	0	40
26.6	0	52.6	9	1	40
29.8	0	47.7	9	0	40
29.5	0	42.2	9	0	40
29.1	0	33.6	2	0	40
24	0	31.7	4	1	40
23.4	0	30.3	6	0	40
23.3	0	32.1	9	0	40
29.7	0	47.8	4	1	40
26.4	0	35.3	6	0	40
20.8	0	22.6	4	0	40
20.4	0	33.3	6	1	40
28.7	0	44.7	6	1	40
26.9	0	33.9	4	1	40
24.1	0	32.4	6	0	40
22.9	0	23.3	6	0	41
27.9	0	38.7	9	0	41
23.8	0	40	12	1	41
27.1	0	28.9	6	0	41
30	0	35.8	4	0	41
27.6	0	32.8	1	1	41
22.7	0	42	12	1	41
28.4	0	30.9	2	0	41
28.8	0	59.8	9	1	41
28.6	0	26	1	0	41
24.8	0	40.5	12	1	41
25.9	0	47.4	12	1	41
22.3	0	25.8	1	0	41
25.1	0	46.5	6	1	41
26.8	0	28.8	2	0	41
26.6	0	27.7	1	0	41
28.3	0	41.9	12	1	41
22.3	0	31.3	12	1	41
28.2	0	23.7	2	1	41
21.6	0	29.6	12	0	41
25.3	0	30.4	6	0	41
29	0	22.7	6	0	41
27.9	0	66.6	6	1	41
22.1	0	25.2	4	0	41
22.8	0	17.7	2	0	41
26.1	0	21.9	4	0	41
28.5	0	32.7	4	0	41
25.9	0	37.6	12	1	41
20.6	0	48.7	12	1	41
29.7	0	57.6	9	1	41
20.7	0	26.8	9	0	41
29.8	0	27.2	4	0	41
21.3	0	28.1	9	1	41
29.6	0	30.5	9	0	41
28.8	0	32.2	12	1	41
21.6	0	17.8	1	0	41
28.8	0	32.4	4	0	41
28.1	0	33.5	6	0	41
22.4	0	22.5	9	0	41
28.3	0	56.1	12	1	41
20.9	0	21.7	9	0	41
24.2	0	25	1	0	41
27.2	0	35.5	9	1	41
28.8	0	30.2	9	0	41
21.8	0	30.3	12	1	41
20.4	0	26	9	1	41
26.9	0	42.8	9	1	41
29.5	0	37.3	2	1	41
29.2	0	32.5	4	0	41
28.1	0	37.8	12	0	41
28.7	0	27.7	4	0	41
23.4	0	21.7	2	0	41
28.5	0	39.9	6	1	41
27.2	0	32.2	6	0	41
21.1	0	25.7	2	0	41
24	0	26.2	9	0	41
22.6	0	24.9	9	0	41
29	0	32.9	4	0	41
25.9	0	27.7	2	0	41
24.3	0	24.2	4	0	41
23.3	0	28.3	6	1	41
29.4	0	29.4	4	0	41
20.3	0	24.5	6	1	41
27.1	0	35.3	9	0	41
20.6	0	38.4	9	0	42
21.2	0	28.3	6	0	42
21.2	0	102.6	12	1	42
26.5	0	64.6	6	0	42
27.5	0	36.4	6	0	42
25.8	0	27.4	1	0	42
29.6	0	37.2	4	0	42
23.7	0	27.1	2	0	42
22.9	0	18.6	2	0	42
28.7	0	56.4	12	0	42
22.2	0	30.6	4	0	42
29.6	0	49.9	12	0	42
20.1	0	32.8	6	0	42
29.8	0	28.7	4	0	42
20.2	0	30.8	6	0	42
29.1	0	32.8	2	0	42
21.2	0	18	1	0	42
25.8	0	51.8	6	1	42
22.7	0	31.7	2	1	42
25.5	0	38	6	0	42
26.5	0	29	1	0	42
22.1	0	35.3	6	1	42
20.1	0	21.9	1	0	42
21.4	0	29.1	4	0	42
29	0	31.8	1	0	42
25.5	0	38.4	4	0	43
22.6	0	29.1	6	0	43
21.2	0	15	1	0	43
28.1	0	57.4	2	1	43
26.9	0	30.2	2	0	43
22	0	30.6	6	0	43
28.9	0	42	6	1	43
25.2	0	38.4	9	0	43
22	0	38.3	2	0	43
25	0	16.7	1	0	43
21.2	0	14.7	1	0	43
26	0	32.4	4	0	43
28.2	0	49.6	12	0	43
22.4	0	32	6	0	43
25.6	0	24.8	6	0	43
21.7	0	22.5	6	0	43
27.9	0	42.3	6	1	43
23	0	88.8	12	1	43
29.7	0	30.2	4	0	43
25.7	0	44.5	9	1	43
24	0	40.2	9	1	43
25.8	0	36.8	6	0	43
20.1	0	28.3	2	0	43
28	0	98.3	9	1	43
26.1	0	28.1	1	0	43
29.1	0	24	1	0	43
29.5	0	31.6	6	0	43
28.1	0	32.8	2	0	43
20.8	0	33.1	2	0	43
29.8	0	32.3	1	0	43
27.4	0	34.2	12	1	43
27.3	0	38.9	6	0	43
23.8	0	25.6	1	0	43
20.8	0	19	6	0	43
24.8	0	26	9	0	43
20.6	0	84.7	9	1	43
25.8	0	58.7	4	1	43
27.8	0	37.1	4	0	43
24.8	0	21.9	2	0	43
25.1	0	33.7	12	0	43
23	0	41.9	9	1	43
20.1	0	27.3	12	0	43
24.7	0	96.9	12	0	43
27.4	0	37.7	4	0	43
20.6	0	28.6	4	0	43
28.5	0	76.1	6	1	43
22.6	0	38.1	2	1	43
24.5	0	27	1	0	43
24.9	0	22	1	0	43
21.9	0	53.7	6	0	43
20.4	0	33	6	0	43
26.2	0	25.2	4	0	43
24.4	0	22.3	1	0	43
20.3	0	22.8	6	0	43
23	0	32.6	6	1	43
22.1	0	27.5	6	0	43
21.4	0	25.8	4	0	43
21.9	0	27	4	0	43
28.4	0	49.7	12	1	43
22	0	29.5	6	0	43
21.6	0	35.6	6	1	44
24.5	0	36.3	12	0	44
22.9	0	25.5	6	0	44
24.5	0	34.9	12	0	44
22.8	0	22.5	1	0	44
26.9	0	34.3	6	1	44
27.1	0	29.4	4	0	44
24.2	0	27	4	0	44
25.9	0	28.2	2	0	44
21.1	0	31.1	9	1	44
20.5	0	30.5	12	1	44
26.2	0	27.1	1	0	44
27.7	0	29.7	2	0	44
24.8	0	51.3	9	1	44
27.8	0	28.8	1	1	44
20.6	0	19.7	6	0	44
28	0	34	6	1	44
29.1	0	40.1	12	1	44
24.4	0	42.6	12	1	44
22.4	0	26.8	1	1	44
23.9	0	31.5	12	0	44
23.9	0	28.2	6	0	44
22.1	0	28.4	9	0	44
23.2	0	30.3	9	0	44
24.7	0	29	1	1	44
28.9	0	36.6	12	0	44
21.9	0	30.2	9	0	45
27.5	0	45.4	12	0	45
21.6	0	26.9	9	0	45
28.7	0	36.7	4	0	45
24.2	0	41.3	9	0	45
25.2	0	39	9	0	45
21.2	0	31.5	4	0	45
29.6	0	51.2	12	0	45
24.4	0	29.8	1	0	45
24.2	0	51.9	4	1	45
28.4	0	39.3	4	0	45
20.9	0	29.4	4	0	45
26.4	0	88.7	12	1	45
29	0	57.5	9	0	45
20.8	0	21.7	1	0	45
28	0	29.2	6	0	45
24.4	0	32.2	12	0	45
22.5	0	27.8	4	0	45
29.9	0	34.1	4	0	45
29.7	0	29.8	1	0	45
23.3	0	25.1	1	0	45
24.8	0	29.1	2	0	45
27.7	0	33.1	2	0	45
20.2	0	37.6	9	0	46
24.2	0	25.6	1	0	46
22.1	0	34.4	9	0	46
24.6	0	51.6	4	1	46
27.9	0	47.5	9	0	46
21.3	0	43.1	6	0	46
24.9	0	81.7	4	1	46
26.9	0	134.3	9	1	46
21.8	0	38.1	1	0	46
27.3	0	33.5	4	0	46
25.4	0	74.7	1	1	46
20.1	0	59.7	2	1	46
23.1	0	163.5	9	1	46
26.3	0	54.2	1	1	46
25.4	0	26.5	12	0	46
29	0	53.9	12	0	46
27.8	0	95.9	9	1	46
20.5	0	27.4	12	0	46
23.7	0	36.7	6	0	46
22.1	0	28.4	6	0	46
23.9	0	47.6	6	0	46
21.9	0	41.1	9	0	46
28.4	0	31.4	1	0	46
27.2	0	38.8	4	0	46
20.2	0	30.3	9	0	46
29.4	0	61.4	12	0	46
25	0	33.6	6	0	46
23.7	0	25.4	1	0	46
21	0	30.5	6	0	46
20.7	0	28	4	0	46
23.2	0	34.8	9	0	46
26.3	0	41.6	4	0	46
27.5	0	37	4	0	46
22.2	0	46.5	12	0	46
22.3	0	26.9	2	0	46
26.2	0	59.6	12	0	46
24.3	0	33.8	2	0	46
29.9	0	25.6	2	0	46
23.8	0	26.3	1	0	46
22.4	0	33.4	12	0	46
28.9	0	33.9	4	0	46
29.7	0	43.4	4	0	46
24.8	0	29.1	4	0	47
23	0	22.6	4	0	47
20	0	29.9	4	0	47
22.7	0	30.8	6	0	47
24.7	0	26.5	1	0	47
29.2	0	50.8	2	1	47
26.1	0	34.7	4	0	47
20.4	0	31.3	12	1	47
27.8	0	24.7	9	0	47
26.7	0	30.1	2	0	47
26.8	0	134.7	12	1	47
28.6	0	24	2	0	47
24	0	85.4	12	1	47
