A	DA	B	DB	R	ID
23.7	0	26	2	0	7
26.1	0	41.7	1	1	7
24.6	0	38.7	12	0	7
25.4	0	24.7	6	0	7
21.9	0	26.2	12	0	7
20.5	0	25.3	4	0	7
29.8	0	29.9	4	0	7
24.6	0	34.6	2	1	7
27.9	0	29.7	1	0	7
22.7	0	31.6	12	0	7
20.7	0	37.3	12	0	7
23.8	0	50.7	9	1	7
29	0	33.2	2	0	7
25.9	0	32.6	6	0	7
20.6	0	20.3	4	0	7
23.9	0	22	1	0	7
26.6	0	48	9	1	7
27.8	0	46.9	9	1	7
25.9	0	41.6	9	1	7
26.4	0	34.1	6	0	7
26.9	0	29.5	9	0	8
25.9	0	32.7	6	1	8
21.4	0	19.5	1	0	8
23.2	0	24	1	0	8
29.2	0	29.8	4	0	8
29.7	0	31.9	2	0	8
28.3	0	30.7	2	1	8
20.1	0	20.2	2	0	8
26.6	0	38.8	12	1	8
27.2	0	32.8	9	1	8
22.8	0	21.3	2	0	8
28.5	0	32.5	1	1	8
25.7	0	27.4	6	1	8
21	0	33.3	12	1	8
24.1	0	22.7	2	0	8
25.6	0	30.8	9	1	8
20.3	0	24	9	1	8
20.6	0	22.1	4	0	8
29.8	0	31	2	0	8
26.6	0	27.1	1	0	8
21.1	0	29.1	9	1	8
27.9	0	27.4	6	0	8
22.3	0	26	12	1	8
22	0	27.9	9	1	8
23	0	18.4	1	0	8
26.5	0	38.3	4	1	8
22.7	0	21	4	0	8
23.7	0	31.2	6	1	8
25.7	0	24	1	0	8
23.9	0	22.8	1	0	8
24.2	0	24.7	1	0	8
25.3	0	26.5	6	0	8
26.7	0	26.4	2	0	8
23.3	0	23.8	1	0	8
27.8	0	33.5	12	1	8
22.3	0	22.7	1	0	8
23.5	0	28.5	12	1	8
27.2	0	56.8	12	0	9
20.2	0	15.7	2	0	9
23.5	0	22.1	6	1	9
22.5	0	16.2	6	0	9
26.9	0	32	4	0	9
23.8	0	17.3	4	0	9
25.1	0	21.3	9	0	9
29	0	30.6	1	0	9
20.3	0	27.3	6	0	9
29	0	36.8	4	1	9
22.2	0	35.7	12	0	9
25.4	0	68.3	4	1	9
20.8	0	77.3	9	1	9
29.5	0	39.9	6	0	9
25.1	0	20.1	1	0	9
27.7	0	35.2	4	0	9
24	0	28.5	9	0	9
24	0	42.4	4	1	9
20.3	0	47.9	9	0	9
20.1	0	19.1	4	0	9
23.1	0	20.9	2	1	9
23.7	0	21.5	6	0	9
29.2	0	68.9	4	0	9
22.9	0	24.5	1	0	9
27.8	0	31.8	2	0	9
22.8	0	48	1	1	9
21	0	17.6	4	0	9
25	0	47.2	12	0	9
29	0	25.9	4	0	9
25.9	0	153.6	12	0	9
21.4	0	26.9	6	0	9
22.1	0	32.9	9	0	9
21.4	0	22.2	4	0	9
28	0	45	9	1	9
27.3	0	36.6	6	0	9
21	0	22.3	1	0	9
27.8	0	40.4	12	0	9
20.1	0	31.3	6	0	9
29.5	0	32.3	6	0	9
27.1	0	45.7	9	0	9
25.3	0	36.3	2	0	9
28.9	0	71.1	4	0	9
22.6	0	24.2	1	0	9
28.1	0	-1048.3	12	0	9
27.5	0	-209.5	9	0	9
28.9	0	15.8	1	0	9
29.1	0	45.5	9	0	9
21.4	0	15.1	12	0	9
21.6	0	27.6	4	0	9
25.5	0	41.3	9	0	9
24.4	0	33.4	2	0	10
23	0	27.2	4	0	10
21	0	18.5	12	0	10
25.7	0	66.4	4	1	10
20.6	0	21.7	1	0	10
26.8	0	27.3	12	0	10
20.5	0	41	4	1	10
27.6	0	41.7	9	1	10
30	0	29.7	9	0	10
21.8	0	22.9	1	0	10
28.1	0	33.9	4	1	10
27.9	0	29.2	1	0	10
27	0	29.6	2	0	10
25.8	0	37.2	9	1	10
28.3	0	42.9	12	1	10
27.7	0	22.8	2	0	10
22.2	0	19.9	4	0	10
24.3	0	26.3	2	0	10
20.7	0	25.8	6	0	10
24.3	0	28.7	4	1	10
21.7	0	24.3	12	0	10
28	0	32.5	12	0	10
26.8	0	55.5	12	1	10
23.6	0	29.6	6	0	10
26.2	0	40.3	12	1	10
28.4	0	39	9	1	10
22.7	0	28	6	0	10
26.6	0	27.7	1	0	10
24.5	0	33.6	9	0	10
24.1	0	28.4	4	0	10
29.7	0	45.9	12	1	10
25.8	0	26.9	1	0	10
28.3	0	36.8	2	1	10
22.3	0	33.7	12	0	10
25.3	0	35.6	9	0	10
26.6	0	32.1	9	0	10
29.9	0	47.2	12	0	10
22.9	0	28.2	9	0	10
28.1	0	45.5	12	0	10
23.5	0	31.3	6	1	10
26.2	0	31.8	4	1	10
21.1	0	23	2	0	11
21.2	0	23.5	2	0	11
29.2	0	38.3	12	0	11
22.3	0	32.4	12	0	11
23.9	0	30.3	6	0	11
27.3	0	27.7	1	0	11
28.3	0	36.8	4	0	11
24.6	0	35.6	6	0	11
24.8	0	25.2	6	0	12
21.6	0	29.9	9	1	12
21.5	0	27.7	9	0	12
27.3	0	30.5	9	0	12
27.8	0	30.1	2	0	12
24.2	0	25.3	1	0	12
25.4	0	41.6	6	1	12
24.6	0	37.9	12	1	12
24.2	0	32.7	9	0	12
28.3	0	33.8	1	1	12
24	0	25	1	0	12
26.8	0	33.8	6	1	12
20.6	0	23.2	6	0	12
29.5	0	37.1	6	1	12
28.4	0	30.3	2	0	12
21.9	0	29.3	9	0	12
25.4	0	25	6	0	12
29.4	0	30.7	1	0	12
25.8	0	36.6	9	1	12
22.6	0	28.2	6	1	12
26.4	0	32.5	6	0	12
22.7	0	33.6	12	0	12
28.3	0	26.3	2	0	12
28.1	0	30.5	2	0	12
26.5	0	31	9	0	12
27.8	0	27.2	2	0	12
21.6	0	33.1	12	0	12
22.4	0	32.3	9	1	12
28.6	0	42.9	12	0	13
29.5	0	29.2	4	0	13
28.1	0	27.1	2	0	13
28.8	0	44.1	9	0	13
23.4	0	53.1	12	1	13
23.2	0	37.6	9	0	13
28.8	0	44.2	9	1	13
29.3	0	25.4	1	0	13
23.8	0	58.7	12	1	13
22.4	0	37.9	6	0	13
22.5	0	75.4	12	1	13
26.8	0	37	6	0	13
26.8	0	28.7	1	0	13
27.7	0	80.9	12	1	13
24.7	0	26.5	1	0	13
26.7	0	35.4	9	0	13
28.6	0	45	4	0	13
21.9	0	20.3	2	1	13
20.2	0	37.3	1	0	13
28.4	0	390.5	9	1	13
22.8	0	25.5	2	0	13
29.7	0	23.1	6	0	13
27.6	0	298.1	12	1	13
24.4	0	18.2	2	0	13
20.4	0	38.7	1	1	13
27.8	0	23.9	4	0	13
23.6	0	37.7	9	0	13
25.7	0	30.1	12	0	13
29.9	0	32.3	1	0	13
25.9	0	34.1	4	0	13
25.2	0	22.6	2	0	13
23.3	0	27.3	2	0	13
26.2	0	30.9	2	0	13
29.9	0	39.2	9	0	13
25.6	0	23.3	1	0	13
28.6	0	61.5	12	0	13
28.7	0	95.2	12	1	13
29.8	0	45.2	9	0	13
28	0	29.3	1	0	13
29.7	0	32.9	2	0	13
20.1	0	25	4	0	13
21.5	0	24.6	2	0	13
28.4	0	38.7	2	0	13
22.9	0	16.5	1	0	13
29.3	0	30.4	12	0	13
29.2	0	31.3	1	0	13
28.4	0	24.8	2	0	13
22.5	0	48	6	1	13
25.3	0	27.2	4	0	13
30	0	52.5	9	0	13
23	0	42.8	6	0	13
29.9	0	32.7	1	0	13
20.3	0	24.2	2	0	13
22.6	0	27.2	2	0	13
21.3	0	31.6	2	0	13
21.3	0	19.8	4	0	13
25.7	0	30.7	2	0	13
28.2	0	74.3	6	1	13
23.3	0	44.4	9	0	13
21.5	0	26.2	2	0	13
27.5	0	45.8	6	0	13
20.1	0	67.6	12	1	13
26.5	0	27.7	1	0	14
21.8	0	31.8	9	0	14
25.8	0	27.5	1	0	14
29.2	0	37.9	1	1	14
22.9	0	31.7	9	0	14
22.1	0	42.4	12	1	14
25.2	0	24.4	1	0	14
20.9	0	23.6	2	0	14
25.5	0	25.8	1	0	14
23.5	0	32.4	9	0	14
22.9	0	24.2	1	0	14
21	0	27.5	12	0	14
24.8	0	34.6	6	0	14
30	0	50.7	9	1	14
22.8	0	54.2	12	1	14
30	0	33.1	4	0	14
27.4	0	34.7	4	0	14
23.2	0	32	9	0	15
28.5	0	47.1	12	0	15
23.8	0	60.8	12	1	15
24.8	0	23.3	1	0	15
20.3	0	21	2	0	15
21.2	0	43.8	12	0	15
21.1	0	32.9	9	0	15
28.2	0	33.6	2	0	15
20.2	0	28.5	4	0	15
28	0	42.2	4	0	15
27	0	24	12	0	15
26.3	0	41.4	12	0	15
20.6	0	17	4	0	15
26	0	26.1	9	0	15
24.9	0	49.3	4	0	15
25.5	0	21.9	9	0	15
29.7	0	61.2	1	1	15
27.8	0	118.7	9	1	15
21.5	0	37.6	1	0	15
27.3	0	33.8	4	0	15
20.5	0	15.5	4	0	15
22.1	0	23.6	1	0	15
24.8	0	246.1	12	1	15
23.5	0	37.1	9	0	15
20.1	0	15	1	0	15
21.7	0	31.3	6	1	15
28.5	0	32.5	2	0	15
22.5	0	28.9	4	0	15
20.5	0	20.9	9	0	15
24.1	0	31.7	4	0	15
23.7	0	125.9	12	1	15
27.7	0	61	4	0	15
23.6	0	25.9	12	0	15
23.2	0	18.2	1	0	15
23.7	0	39.9	1	0	15
23.7	0	20.3	4	0	15
21.5	0	19	4	0	15
27.7	0	71.4	4	1	15
27.1	0	166.8	12	1	15
29.3	0	30.2	6	0	15
24.4	0	39.1	1	0	15
22.9	0	34.9	6	0	15
20.2	0	51.5	4	1	15
22.8	0	35.3	6	0	15
23	0	27.4	2	0	15
22.4	0	37.2	1	0	15
