id,sampleInterval,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError
1,2.01375270747048,1.25725934441389,0.321323729908446,0.255574739878543,-0.756493363056589,0.321323729908446,-0.424754195608733,0.756493363056589,0.321323729908446,0.424754195608733,0.624336513490359,0.159564642031975,0.255574739878543,1.69578233197119,0.462532036338354,0.272754366889,-0.375663486509641,0.159564642031975,-0.424754195608733,0.375663486509641,0.321323729908446,0.85534991141653
1,3.00416602394643,2.01828103851194,0.869872131751197,0.430996533759513,-0.985884985434492,0.869872131751197,-0.88232617861386,1.11206957367823,0.652507172644654,0.586750314988341,0.671827396496755,0.28955527917478,0.430996533759513,1.6910370763248,0.595046424137041,0.351882541469926,-0.328172603503245,0.28955527917478,-0.88232617861386,0.370175804137935,0.652507172644654,1.76269536082784
1,4.48168907033806,3.13967803170526,0.63484482184394,0.202200612748542,-1.3420110386328,0.63484482184394,-0.473054843491228,1.3420110386328,0.63484482184394,0.473054843491228,0.700556862028902,0.14165302676744,0.202200612748542,1.47826414852869,0.3151190350044,0.213168286140225,-0.299443137971098,0.14165302676744,-0.473054843491228,0.299443137971098,0.63484482184394,2.12008472174512
1,6.68589444227927,5.4018491176952,1.07983460080471,0.199900918607189,-1.28404532458407,1.07983460080471,-0.840962994164158,1.28404532458407,1.07983460080471,0.840962994164158,0.807947113782681,0.161509370231185,0.199900918607189,1.278313613554,0.256049207748447,0.2003023397651,-0.192052886217319,0.161509370231185,-0.840962994164158,0.192052886217319,1.07983460080471,5.62258980884468
1,9.97418245481472,6.56363191411192,1.52587303183637,0.23247388820749,-3.4105505407028,1.52587303183637,-0.447397865425544,3.4105505407028,1.52587303183637,0.447397865425544,0.658062146330954,0.152982265839723,0.23247388820749,1.58105708838862,0.331693947630187,0.209792517971785,-0.341937853669046,0.152982265839723,-0.447397865425544,0.341937853669046,1.52587303183637,4.46242793964902
1,14.8797317248728,10.5885649712463,2.81175561681481,0.265546429043996,-4.2911667536265,2.81175561681481,-0.655242682992586,4.2911667536265,2.81175561681481,0.655242682992586,0.711609938070764,0.188965477926911,0.265546429043996,1.48955043200399,0.407427147424141,0.27352356702418,-0.288390061929236,0.188965477926911,-0.655242682992586,0.288390061929236,2.81175561681481,9.74983533761557
2,2.01375270747048,4.13039042671589,1.77465320185954,0.429657494453999,2.11663771924542,1.77465320185954,0.838430301852601,2.11663771924542,1.77465320185954,0.838430301852601,2.05109118482784,0.881266699369816,0.429657494453999,0.567210166965835,0.238834362946611,0.421068550700004,1.05109118482784,0.881266699369815,0.838430301852601,1.05109118482784,1.77465320185954,1.68839129038096
2,3.00416602394643,3.95354765759339,1.30652083114681,0.3304679605006,0.949381633646957,1.30652083114681,1.37618085798431,1.19218741904583,1.00681819334669,0.844513351896042,1.31602169323512,0.434903004937954,0.3304679605006,0.826311276466532,0.277644223943594,0.336004399130137,0.316021693235116,0.434903004937954,1.37618085798431,0.396844718149003,1.00681819334669,2.53705831853521
2,4.48168907033806,4.94176712403387,0.427215012204155,0.0864498470853534,0.460078053695803,0.427215012204155,0.928570725711301,0.460078053695803,0.427215012204155,0.928570725711301,1.10265728980192,0.0953245540909265,0.0864498470853535,0.912294120206012,0.0781281489216025,0.0856392112929105,0.102657289801922,0.0953245540909265,0.928570725711301,0.102657289801922,0.427215012204155,4.16156527245622
2,6.68589444227927,5.39530498988024,1.20905360555668,0.224093653245638,-1.29058945239903,1.20905360555668,-0.93682278536309,1.50607102657795,0.841739043909802,0.558897308995032,0.806968317621381,0.180836478349262,0.224093653245638,1.28625755658339,0.266058204158269,0.20684675693178,-0.193031682378619,0.180836478349262,-0.93682278536309,0.225260963896481,0.841739043909802,3.73672841201472
2,9.97418245481472,7.97207578058115,2.91460635606304,0.365601938100314,-2.00210667423357,2.91460635606304,-1.45576976170802,3.06495796564458,1.32778385500281,0.433214376799315,0.799271099831634,0.292215063166015,0.365601938100314,1.37383000912111,0.433569653607567,0.315591922384152,-0.200728900168366,0.292215063166015,-1.45576976170802,0.307289141694523,1.32778385500281,4.32095923624522
2,14.8797317248728,11.4300687377865,2.4658781174092,0.215736070707719,-3.44966298708634,2.4658781174092,-0.714817107247898,3.44966298708634,2.4658781174092,0.714817107247898,0.768163630173526,0.165720603234214,0.215736070707719,1.35481332768896,0.314459631503949,0.232105504926169,-0.231836369826474,0.165720603234214,-0.714817107247898,0.231836369826474,2.4658781174092,10.6362867881984
3,2.01375270747048,2.11825324168349,0.775525681783576,0.366115659130173,0.104500534213011,0.775525681783576,7.42126045215011,0.539800809055885,0.500858656057426,0.92785829078958,1.05189342952853,0.385114656286537,0.366115659130173,1.03523968919372,0.295726743018341,0.285660167500595,0.0518934295285325,0.385114656286537,7.42126045215011,0.268057148751865,0.500858656057426,1.86847714522645
3,3.00416602394643,4.96168747703996,3.80186803616087,0.766244962778063,1.95752145309353,3.80186803616087,1.94218460806785,2.25930767570657,3.58656861033637,1.58746356191381,1.65160228745348,1.26553193327396,0.766244962778063,0.82791700392836,0.38520834326724,0.465274105302193,0.651602287453481,1.26553193327396,1.94218460806785,0.752058194419834,3.58656861033637,4.76900409695447
