Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,892.558302,85.037262,67.878893,6.773403,56.041965,323,34.545455,32.99795,74.807777,24,420,0,0.046875,0.253906,2500.952733,2562.3728,1270.210463,39.483559,40.453223,20.05333,66.846666,33.136995,6334.162293,2.017282,0.003906,0.042969,0.152344,2850.014815,2645.447975,1281.995491,42.0454,39.027487,18.912889,67.341483,32.633973,6778.422476,2.063539,0.232972,39.649059,113.339825,1.440282,1.592187,4.550893,1.226477,0.861978,9.63469,426,28.865545,97.904455,3.06957,1.592187,1.697235,1.698307,1.781438,1.913329,1.871905,1.930701,1.698732,1.656617,1.661007,1.65569,1.40271,1.09152,1.369079,1.498418,1.151767,1.496546,1.476742,1.398255,1.363822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,750.86185,68.88214,80.592482,7.521407,38.063027,270,15.725102,33.427295,62.184733,21.209877,370,0,0.113281,0.164062,1837.091155,1350.422991,852.041588,45.473506,33.427012,21.09058,61.304165,38.679509,4039.915383,1.584926,0.003906,0.042969,0.1875,2245.204916,1452.708835,879.207,49.043329,31.732372,19.205035,62.273244,37.688951,4578.002649,1.652294,0.186165,26.922509,93.597527,1.323272,1.393422,4.075083,1.252791,0.839688,10.981186,462,31.604725,98.538584,3.182491,1.393422,1.782645,1.733709,1.421579,1.724525,1.520319,1.514716,1.354596,1.171319,1.26755,1.315243,0.92379,1.764913,1.060265,1.303993,1.380635,1.335147,1.183118,1.816693,1.211524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,654.031193,33.392662,91.97827,4.679654,15.037062,6,0.519481,7.264961,31.706764,9.553719,185,0.007812,0.085938,0.292969,332.995553,401.094986,112.64337,39.323587,47.365479,13.302104,78.062424,21.923023,846.808682,3.560751,0.003906,0.042969,0.152344,462.280047,516.953221,115.969566,42.206461,47.198156,10.588095,81.666839,18.320551,1095.282656,4.457663,0.213143,10.637498,46.002587,1.141425,1.129113,1.036188,1.439278,0.893462,11.704135,669,37.729271,99.310721,3.299296,1.129113,1.656973,1.834427,1.844336,1.72708,1.764676,1.731433,1.751467,1.748493,1.727003,1.494724,1.343062,1.338395,1.48635,1.592614,1.576379,1.55965,1.845347,1.646794,1.274438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,663.070894,54.550872,91.078207,7.228375,34.848494,266,15.079365,3.886194,51.131838,14.831933,310,0.011719,0.070312,0.175781,609.970597,1161.33419,1203.905271,20.500123,39.030559,40.461304,49.095119,50.894801,2975.448516,0.964639,0.003906,0.042969,0.210938,677.71778,1211.304004,1123.909947,22.490345,40.197625,37.297417,51.861443,48.119705,3013.372043,1.077759,0.229577,24.648626,73.081624,1.185231,1.169156,3.71137,1.197683,0.55332,8.593693,387,26.311475,98.075851,2.934139,1.169156,1.651243,1.907087,1.740199,1.537746,1.421224,1.354325,1.230246,1.187978,1.535889,1.142588,1.303647,1.208449,0.994611,0.934073,1.207728,0.853493,1.127368,0.948144,0.945256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,876.090971,65.035212,68.916543,5.786561,24.124564,58,3.866667,4.373375,52.779142,13.166667,290,0.003906,0.089844,0.246094,2315.901357,532.289809,182.395165,76.408471,17.561823,6.017759,74.441224,25.508133,3030.948448,2.918333,0.003906,0.042969,0.152344,2618.463534,646.59329,204.440272,75.466236,18.635341,5.892134,75.957939,24.016429,3469.715294,3.162749,0.23781,17.064332,90.4052,1.424007,1.541021,0.936276,1.2931,1.096483,13.012708,796,45.105852,98.937188,3.411648,1.541021,1.662837,1.650148,1.607463,1.509566,1.348634,1.347962,1.178562,1.471214,1.567856,1.32575,1.069009,1.29671,1.320059,1.379979,1.458596,1.350895,1.371383,1.301569,1.148345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,776.264506,73.755855,77.98922,7.383083,41.300685,215,20.692974,1.148776,69.862788,18.245614,360,0.015625,0.085938,0.152344,2324.821745,2386.194928,703.484494,42.93206,44.065428,12.99112,77.215733,22.764306,5415.118023,3.391965,0.003906,0.042969,0.152344,1797.211277,2715.977953,856.886766,33.463371,50.570448,15.954897,76.003923,23.979118,5370.682032,3.169588,0.249098,29.218058,100.181543,1.266354,1.276892,3.960375,1.38058,0.9111,10.133374,802,30.910485,98.76139,3.126223,1.276892,1.668622,1.87472,1.717584,1.773209,1.776724,1.618018,1.750247,1.585273,1.437682,1.712002,1.616396,1.66877,1.444528,1.714231,1.954816,1.247947,1.336934,1.197157,1.568199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,811.169764,88.367895,75.25752,8.371232,48.731545,463,26.747545,76.581188,82.810626,25.470588,440,0.007812,0.058594,0.320312,4874.074482,1640.204397,857.606461,66.101099,22.244082,11.630665,65.618888,34.309859,7373.666368,1.912537,0.003906,0.042969,0.3125,4702.956309,1710.228076,946.912656,63.889619,23.233433,12.8638,64.340037,35.62355,7361.064938,1.80611,0.239554,34.468373,120.139942,1.383204,1.421514,4.013749,1.014629,1.132976,12.363273,750,35.787476,98.69175,3.356849,1.421514,1.49796,1.380261,1.431723,1.540273,1.378842,1.437064,1.617936,1.607259,1.553201,1.469056,1.361754,1.879324,1.737007,2.329846,2.472467,2.246983,2.625204,1.847464,1.928202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,723.186087,52.2783,83.395834,5.969447,27.088862,80,7.098492,10.384761,50.725287,14.842105,305,0.023438,0.078125,0.152344,879.304568,911.297572,201.46857,44.12415,45.729583,10.109841,81.841409,18.0934,1992.79661,4.523274,0.003906,0.042969,0.152344,1219.754535,1191.852616,229.210684,46.174117,45.117883,8.676829,83.821909,16.120179,2641.641276,5.199813,0.19628,19.163306,71.414021,1.251892,1.225808,2.881622,1.505861,1.036726,12.373518,697,38.163247,99.134991,3.365878,1.225808,1.478491,1.75741,1.710472,1.98073,1.71761,1.614071,1.593243,1.574366,1.623325,1.682149,1.484356,1.30229,1.542439,1.534627,1.489368,1.487027,2.527565,1.675193,1.372455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,784.095506,83.565535,77.462008,8.087919,45.164602,274,19.912791,34.676528,82.912498,22.95,445,0.007812,0.058594,0.179688,3804.719223,2199.681173,879.856629,55.251209,31.943236,12.777064,71.383462,28.552871,6886.218932,2.500045,0.003906,0.042969,0.152344,3828.111363,2201.078801,828.867483,55.808214,32.08848,12.083665,72.611866,27.343689,6859.404918,2.655526,0.189002,31.947808,113.786891,1.322942,1.335239,3.533575,1.301633,0.950314,13.254645,990,37.664714,99.12192,3.444967,1.335239,1.529522,1.605728,1.75914,1.624055,1.70344,1.662862,1.745351,1.767064,1.50414,1.660947,1.858191,1.890077,2.002655,2.271577,1.553906,1.820899,2.795829,1.952825,1.499206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,727.458372,76.05656,83.411843,9.011046,53.805454,262,21.37031,16.552438,65.242232,18.590909,405,0.007812,0.097656,0.269531,2956.695683,1336.326213,985.872498,55.967497,25.295411,18.661649,57.447133,42.38153,5282.880006,1.355476,0.003906,0.042969,0.257812,2677.305715,1376.93023,1070.202011,52.217635,26.855372,20.873006,56.203522,43.683493,5127.205966,1.286608,0.238794,38.061736,100.643113,1.27184,1.343029,4.076634,1.033783,0.877045,10.54447,302,32.741088,98.6683,3.186421,1.343029,1.61816,1.781769,1.782377,1.553271,1.8395,1.641392,1.598634,1.653872,1.744426,1.440987,2.075521,2.383953,1.71752,1.743944,1.65334,1.403081,1.777906,1.642153,3.392749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
