id,condition,k,s,k2,s2,hyperbolic,hTemp,exponential,eTemp,qhDelta,qhBeta,qTemp,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR,HRV,meanHR,cleanTD,cleanDR,cleanHR,cleanOther,logK,logE,logHRV,ptHRV,ptHR,filter,meanNN,SDNN,RMSSD,VLF,LF,HF,fftVLF,fftLF,fftHF,logAccuracy
11,1,0.09252166,0.036353499,NaN,NaN,0.577772082758773,0.133337612879797,0.950417123654146,0.412224031396423,0.204145541949221,0.168015742277263,0.0118497988455483,1.7427,0.93324333,0.64445877,1.7779758,0.43662292,0.62974876,3.8958333,1.5083082,0.38715932,-2.9440694,3.500479,-1.1889933,3.2692575,3.1879742,0.97513705,0.72079271,0.36975744,0.5129872,1.695792,0.72262448,0.42612806,-0.27920729,0.36975744,-1.3243116,0.41685599,3.1879742,7.6476631,-0.19049625,0.167449,-0.23738524,0.1791342,3.20762578808835,78.9551648103127,0,0,0,0,-0.548575808561078,-0.0508543132232024,1.16553103360178,0.0782998326179616,77.8501256538287,1,769.536336263021,83.3488144943001,61.3435155735541,1572.83603072898,960.983521705855,685.491137122318,4828.35631343219,3080.26250039985,2136.49440941287,-0.433970694997356
12,1,0.040989187,0.040448878,0.044173811,0.045226119,0.0425944017648359,0.216235728347318,0.999999826996356,33.646391175791,0.666896041077526,0.964737074849108,0.196541749509485,5.6196141,-3.4400444,0.71374601,0.75788504,1.0725398,0.81141174,6.1132998,4.6216779,0.7560038,-0.72660273,2.047287,-2.8176153,1.382506,1.6614181,1.2017438,0.90323925,0.32762221,0.36271921,1.2435642,0.45486677,0.36577669,-0.096760772,0.32762221,-3.3858991,0.24335983,1.6614181,6.827002,1.1703451,0.35665599,1.8259048,0.64199007,7.34342066502096,67.2705981544803,0,0,0,0,-3.15603244831337,-1.73003658931351e-07,1.99380476472467,0.0869761944062179,67.2943970898345,1,888.1117570629,99.5597212811018,72.6563878422024,1988.25938509766,1724.45948681515,1043.6609890221,7081.78282103417,6231.34738107782,3809.18522128779,-0.159441105346822
13,1,0.10683283,0.11990649,0.12187038,0.070811599,0.163285149177194,3.67607203955006,0.0937513620888739,5.04076790251499,0.665857891754342,0,12.6500628687839,3.8248572,-0.55379045,0.85745335,1.8329484,0.63962746,0.85133779,5.9484668,2.8699543,0.48246962,-0.8914361,2.2465613,-2.5201597,1.6760007,1.7214117,1.0270948,0.99333787,0.298493,0.30049491,1.0865451,0.29377541,0.2703757,-0.0066621006,0.298493,-44.804634,0.22773053,1.7214117,7.5589852,0.24877572,0.18529408,0.18281795,0.148793,6.80921915107394,78.6342593135198,0,0,0,0,-1.81225722510571,-2.36710908528917,1.91827745148354,0.0863501067578272,80.5572894861335,1,744.51592253318,87.9375613080333,63.3788136384867,1671.87694676467,1086.09496766225,807.386825129137,4960.65870073402,3381.79910570247,2462.99232950535,-0.0461306600177993
14,2,0.071530327,0.02280454,0.071569987,0.042892296,0.999999502653813,16.4037122458187,0.0553217607876657,0.682284623455236,0.666751347373511,0.946180645568734,0.454922760823006,4.3678999,-1.5126632,0.86319673,1.4927266,0.7398349,0.86406285,5.9127665,3.2665012,0.55244887,-0.92713606,1.971222,-2.1261411,1.3742377,1.6796689,1.2222551,0.93941343,0.21581843,0.22973743,1.1250314,0.28427553,0.25268233,-0.060586553,0.21581843,-3.5621507,0.18255095,1.6796689,9.2010965,0.79584879,0.80977768,0.84816211,0.91899329,1.12943602421615,91.8159685890994,0,0,0,0,-4.97346310688349e-07,-2.89458894355861,0.121718414521549,0.0462924255563105,91.9108794141377,1,651.749026816609,47.4421052465598,42.2148996746455,396.657706415223,282.096945972456,280.682318710931,1074.9899901689,721.901828360416,739.62143629681,-0.0892793559638118
15,3,0.11588078,0.02910094,0.11278465,0.20188248,0.300843133337148,4.58218772918385,0.142914465355805,6.10231160240573,0.667197123494949,0.866828200175088,4.07144503563407,3.9384286,-1.4863952,0.71095848,1.1569408,0.80017084,0.74798524,5.2089334,3.2453823,0.62304163,-1.6309694,2.3685186,-1.4522152,1.9823496,2.072788,1.0456218,0.83175385,0.27310923,0.32835343,1.313187,0.37791204,0.28778237,-0.16824616,0.27310923,-1.6232717,0.26599219,2.072788,7.7926645,1.208544,0.7253198,0.86325079,0.78097564,6.96054635536097,90.2373448979784,0,0,0,0,-1.20116630178384,-1.94550897204694,1.94025797059889,0.0920979751522133,91.740679966414,1,650.913997214485,93.5351680790294,82.1272067107197,1524.79204379643,989.517577615449,1169.30659780559,3884.70959201597,2812.63479298511,3043.40606439284,-0.230248773806486
16,2,0.11054538,0.096967652,0.11929709,0.12271971,0.193774650481836,3.47689852290865,0.116363754318556,4.55255953020096,0.666783032145724,0.890151364702137,3.03556947857155,5.0279427,-2.5427697,0.87526363,1.1475972,0.87454271,0.90919417,6.0047336,3.7340996,0.62185937,-0.83516937,1.4949316,-1.7899741,1.1337308,1.2754264,1.1249818,0.90933353,0.21987358,0.2417964,1.1496069,0.23285986,0.20255607,-0.090666465,0.21987358,-2.4250817,0.17362094,1.2754264,7.3460402,0.69091833,0.57187778,0.83564502,0.71371299,3.72430408622522,68.0161943319838,0,0,0,0,-1.64105939054817,-2.15103418119227,1.31488001188815,0.133527741662296,70.2215259953064,1,851.088784857328,140.722658332215,99.399716111083,5529.41621868145,2273.6137247062,1478.18744861801,19041.0774945342,7543.5160799459,5338.24629935736,-0.118514455618304
17,4,0.050257444,0.056853265,0.061848171,0.052070189,0.0585490214974603,0.741422745014894,0.0465046709328221,0.482226242602653,0.667406957858123,0.954560086241164,0.321842241508366,3.8311,-0.93997002,0.76860905,1.4414209,0.72497141,0.80578327,5.5728998,3.0362377,0.54482186,-1.2670027,2.2445898,-1.7715745,1.73103,1.8971144,1.0959454,0.92385209,0.32381535,0.35050562,1.1966673,0.37329248,0.31194338,-0.076147929,0.32381535,-4.2524509,0.24898545,1.8971144,7.6193786,0.57938749,0.29296881,0.6849004,0.39220807,6.22294691372051,77.3805398813384,0,0,0,0,-2.83789090133322,-3.06820252126539,1.82824357489354,0.100461128728365,78.1994962070483,1,761.140182783019,113.410135094734,90.1835231656858,2455.03491950717,1846.90947967564,1528.35587014545,7767.90401071164,5535.74240389157,4726.68144031264,-0.131306741857859
18,1,0.056751091,0.1555793,0.068479516,0.12866099,0.0747868317772852,3.79228603094419,0.0542927282319374,4.36114498772661,0.666252941382348,0.947154798906716,2.90562517293846,3.9132714,-1.8467281,0.67694807,1.0073181,0.83063662,0.68531525,4.8058333,3.3046639,0.68763602,-2.0340693,2.5856383,-1.2711653,2.3726401,2.2676187,0.95573646,0.72905105,0.26125458,0.35834882,1.5534258,0.59060436,0.38019475,-0.27094892,0.26125458,-0.96422076,0.33248219,2.2676187,6.820271,1.3557156,0.84084105,0.77297407,0.79811972,13.2556218407444,70.3411423910904,0,0,0,0,-2.5931134552578,-2.91336497939064,2.58442175231424,0.128293600397108,73.9333277911713,1,808.791421075331,120.72062654003,77.8781234223376,4397.08302243533,1436.85862889288,1094.01440549961,14393.4104957204,4573.96631426834,3664.57697239801,-0.37693564325042
19,1,0.12230252,0.092357978,0.12032954,0.031272404,0.493895810608281,0.216282664192329,0.174650338718384,1.37539402479578,0.666071361938439,0.839750596269749,0.916110713586594,2.9600856,-1.4753457,0.41233164,0.48251376,1.0257781,0.4899613,3.5567999,3.202919,0.90050584,-3.2831028,3.2205889,-0.98095894,3.4349246,3.0523891,0.88863349,0.55782628,0.39411715,0.70652306,9.2097225,15.332731,1.6648419,-0.44217369,0.39411715,-0.89131743,0.50713396,3.0523891,6.0189004,1.3125733,0.91781563,0.61507821,0.95889854,3.95213062309339,162.921807149225,0,1,0,0,-0.705430693738629,-1.74496936831873,1.37425483174158,0.0714480416833127,83.343453265293,0,720.856955199115,61.3756846021844,42.0415126842156,696.696519880811,712.267462915638,299.279055457268,2103.4615041492,2037.33950721189,863.061421105085,-1.13110931055723
20,2,0.02870483,0.06755852,0.028540308,0.046496756,0.026637972666069,1.34225972264583,0.023073763716174,1.41351016198523,0.666985744304879,0.97719039116645,0.942791206122974,4.8213716,-2.8307981,0.800542,1.0102104,0.88618577,0.79317594,5.3655334,3.7440665,0.6977995,-1.4743694,2.0981286,-1.4230685,1.8471724,1.7666816,0.95642483,0.77270699,0.27378911,0.35432464,1.4482106,0.50984174,0.35204944,-0.22729304,0.27378911,-1.2045645,0.30531579,1.7666816,5.7864075,1.0480809,0.62738979,0.79163206,0.6810106,7.63119946458839,77.3304305393942,0,0,0,0,-3.62541753732932,-3.76905907679236,2.03224503668799,0.0885577218821632,76.570399852509,1,783.776571584302,90.3966648563928,47.7928602711506,2448.10562544822,1031.15402497401,462.367754127601,7547.89955920376,3480.97639748302,1471.6470720561,-0.314266529114162
