"meanDiff" "cvReproduction" "stevens1" "stevens2" "meanHR" "sdnn" "sdnni" "hfpowfft" "lfpowfft"
"meanDiff" NA 0.564507901774504 0.00447840180032211 0.0377598368500589 0.649962948208971 0.918606145668909 0.949400087239141 0.903884106521418 0.718642924379163
"cvReproduction" 0.564507901774504 NA 0 0 0.226275292233209 0.280062604050323 0.308545790753426 0.407655681810121 0.133884439439749
"stevens1" 0.00447840180032211 0 NA 0 0.622990735363758 0.0569647208228177 0.037901853017279 0.0820467988843552 0.0245782450194989
"stevens2" 0.0377598368500589 0 0 NA 0.326758375225657 0.0529755464713939 0.04427601434063 0.0488988046447079 0.0202854583989902
"meanHR" 0.649962948208971 0.226275292233209 0.622990735363758 0.326758375225657 NA 4.00094136829843e-05 8.59599833673563e-05 0.00477247933010116 0.000118599172350686
"sdnn" 0.918606145668909 0.280062604050323 0.0569647208228177 0.0529755464713939 4.00094136829843e-05 NA 0 0 0
"sdnni" 0.949400087239141 0.308545790753426 0.037901853017279 0.04427601434063 8.59599833673563e-05 0 NA 0 0
"hfpowfft" 0.903884106521418 0.407655681810121 0.0820467988843552 0.0488988046447079 0.00477247933010116 0 0 NA 1.16173737296776e-12
"lfpowfft" 0.718642924379163 0.133884439439749 0.0245782450194989 0.0202854583989902 0.000118599172350686 0 0 1.16173737296776e-12 NA
